# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163736|level=2 held=yes cfb=0 prime|1401600|1958400|1555200|3801600|50900|no
1787163736|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|34700|no
1787163737|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|35100|no
1787163737|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|34700|no
1787163738|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|34700|no
1787163739|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|35100|no
1787163739|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|35900|no
1787163740|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|34300|no
1787163740|level=2 held=yes cfb=0 prime|3513600|3283200|2745600|4320000|35900|no
1787163741|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|38200|no
1787163741|level=2 held=yes cfb=0 prime|1017600|1017600|1363200|3801600|33900|no
1787163742|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|33200|no
1787163743|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|35500|no
1787163743|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|33200|no
1787163744|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|32400|no
1787163744|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|32400|no
1787163745|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|32000|no
1787163745|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|32400|no
1787163746|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|31600|no
1787163747|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|31600|no
1787163747|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|31600|no
1787163748|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|31200|no
1787163748|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|31200|no
1787163749|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|31200|no
1787163750|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|30800|no
1787163750|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|30800|no
