# scheduler-event-tracer
# label=T2 correct filter
# tid=31055 comm=w-wake comm_glob= alive_at_end=yes
# duration_s=3 uptime_start=165869.72 764556.76 uptime_end=165872.73 764577.39
# trace_clock=global buffer_size_kb_per_cpu=4099 instance=s2a
# events=sched/sched_waking,sched/sched_wakeup,sched/sched_wakeup_new,sched/sched_switch,sched/sched_migrate_task,sched/sched_stat_wait,sched/sched_process_exit,schedwalt/sched_task_util,schedwalt/sched_enq_deq_task,schedwalt/sched_find_best_target,sched_assist/set_ux_task_to_prefer_cpu,frame_boost/find_frame_boost_cpu,
# filter=pid==31055 (sched_switch: prev_pid||next_pid)
# entries=1052 overrun=0 commit_overrun=0 dropped=0
#
# cpu0 entries=158 overrun=0 commit_overrun=0 dropped=0
# cpu1 entries=473 overrun=0 commit_overrun=0 dropped=0
# cpu2 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu3 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu4 entries=242 overrun=0 commit_overrun=0 dropped=0
# cpu5 entries=160 overrun=0 commit_overrun=0 dropped=0
# cpu6 entries=19 overrun=0 commit_overrun=0 dropped=0
# cpu7 entries=0 overrun=0 commit_overrun=0 dropped=0
# loss=none
# tracer: nop
#
# entries-in-buffer/entries-written: 1052/1052   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [001] d.h3. 116549.360668: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=001
          <idle>-0       [001] d.h3. 116549.360673: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x2 most_spare_cap=-1 order_index=0 end_index=0 skip=-1 running=0 min_util=224 spare_rq_cpu=-1 min_runnable=4294967295
          <idle>-0       [001] d.h3. 116549.360674: sched_task_util: pid=31055 comm=w-wake util=224 prev_cpu=1 candidates=0x2 best_energy_cpu=1 sync=0 need_idle=0 fastpath=2 placement_boost=0 latency=1562 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
          <idle>-0       [001] d.h4. 116549.360676: sched_enq_deq_task: cpu=1 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=1755877 pred_demand_scaled=67 is_compat_t=0 mvp=0 misfit=0
          <idle>-0       [001] dNh4. 116549.360679: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=001
          <idle>-0       [001] dN.2. 116549.360688: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
          <idle>-0       [001] d..2. 116549.360691: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.367805: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=kworker/1:3 next_pid=13241 next_prio=120
     kworker/1:3-13241   [001] d..2. 116549.367815: sched_stat_wait: comm=w-wake pid=31055 delay=15313 [ns]
     kworker/1:3-13241   [001] d..2. 116549.367819: sched_switch: prev_comm=kworker/1:3 prev_pid=13241 prev_prio=120 prev_state=I ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.368286: sched_enq_deq_task: cpu=1 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1880394 pred_demand_scaled=338 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [001] d..2. 116549.368292: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
                  app-60-60      [001] D.h2. 116549.388346: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=001
                  app-60-60      [001] D.h2. 116549.388360: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x20 most_spare_cap=5 order_index=0 end_index=0 skip=-1 running=0 min_util=287 spare_rq_cpu=5 min_runnable=0
                  app-60-60      [001] D.h2. 116549.388362: sched_task_util: pid=31055 comm=w-wake util=287 prev_cpu=1 candidates=0x20 best_energy_cpu=5 sync=0 need_idle=0 fastpath=0 placement_boost=0 latency=4063 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
                  app-60-60      [001] D.h2. 116549.388364: sched_migrate_task: comm=w-wake pid=31055 prio=120 orig_cpu=1 dest_cpu=5
                  app-60-60      [001] D.h3. 116549.388404: sched_enq_deq_task: cpu=5 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=2242395 pred_demand_scaled=338 is_compat_t=0 mvp=0 misfit=0
                  app-60-60      [001] D.h3. 116549.388414: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=005
          <idle>-0       [005] dN.2. 116549.388431: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
          <idle>-0       [005] d..2. 116549.388438: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [005] d..2. 116549.395945: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=migration/5 next_pid=56 next_prio=0
     migration/5-56      [005] d..2. 116549.395950: sched_enq_deq_task: cpu=5 dequeue comm=w-wake pid=31055 prio=120 nr_running=2 rt_nr_running=0 affine=ff demand=3172885 pred_demand_scaled=453 is_compat_t=0 mvp=0 misfit=0
     migration/5-56      [005] d..2. 116549.395951: sched_migrate_task: comm=w-wake pid=31055 prio=120 orig_cpu=5 dest_cpu=1
     migration/5-56      [005] d..2. 116549.395960: sched_enq_deq_task: cpu=1 enqueue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=1 affine=ff demand=3172885 pred_demand_scaled=453 is_compat_t=0 mvp=0 misfit=0
                  app-52-52      [001] d..2. 116549.395963: sched_stat_wait: comm=w-wake pid=31055 delay=15521 [ns]
                  app-52-52      [001] d..2. 116549.395968: sched_switch: prev_comm=app-52 prev_pid=52 prev_prio=98 prev_state=S ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.396925: sched_enq_deq_task: cpu=1 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=3172885 pred_demand_scaled=453 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [001] d..2. 116549.396932: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
          <idle>-0       [001] d.h3. 116549.417085: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=001
