# started 2026-09-21 14:18:28  level/status: level=3 held=yes cfb=0 prime=3513600 junc=31C left=常开 pids=12628 26316 7390 8945 
# p6max=3513600 p0max=2918400 cfb=0
# node=0:2918400 1:2918400 2:2918400 3:2918400 4:2918400 5:2918400 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789993108|2400000|2400000|2745600|2745600|2918400|2918400|1017600|1017600|2918400|3513600|33200|27300|0|no
1789993109|2400000|2400000|2400000|1996800|1996800|1555200|1017600|1017600|2918400|3513600|32000|27300|0|no
1789993110|960000|960000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|32000|27300|0|no
1789993110|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|31600|27300|0|no
1789993111|2400000|1785600|1785600|1363200|960000|748800|1017600|1017600|2918400|3513600|32000|27300|0|no
1789993112|1363200|1363200|1363200|1555200|1363200|1363200|1017600|1017600|2918400|3513600|31600|27300|0|no
1789993112|2400000|1996800|1996800|2745600|2400000|2400000|1017600|1017600|2918400|3513600|31600|27300|0|no
1789993113|1555200|1555200|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|31600|27300|0|no
1789993114|2400000|2745600|2745600|2400000|1996800|1996800|2246400|2841600|2918400|3513600|47800|27300|0|no
1789993114|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3513600|2918400|3513600|61000|27300|0|no
1789993115|2918400|2400000|2400000|2400000|2745600|2745600|1401600|1401600|2918400|3513600|39000|27300|0|no
1789993115|2745600|2918400|2918400|2918400|2918400|2745600|1401600|1401600|2918400|3513600|36600|27300|0|no
1789993116|2400000|1996800|1996800|2400000|2400000|2227200|1401600|1401600|2918400|3513600|35900|27300|0|no
1789993117|2227200|2227200|2400000|1996800|1996800|2227200|1401600|1401600|2918400|3513600|34700|27300|0|no
1789993117|2918400|2918400|2918400|2227200|2227200|1996800|3513600|3513600|2918400|3513600|41700|27300|0|no
1789993118|2227200|1996800|1996800|1785600|1996800|2227200|3513600|3513600|2918400|3513600|42400|27400|0|no
1789993118|2400000|2400000|1996800|2400000|2227200|1785600|3513600|3513600|2918400|3513600|48600|27400|0|no
1789993119|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|57100|27400|0|no
1789993120|2745600|2745600|2918400|1996800|1996800|2400000|3513600|3513600|2918400|3513600|62500|27400|0|no
1789993120|2918400|2918400|2918400|2918400|2400000|2400000|3513600|3513600|2918400|3513600|50900|27400|0|no
1789993121|2227200|2227200|1785600|1996800|1785600|1996800|3513600|3513600|2918400|3513600|49000|27400|0|no
1789993121|2918400|2918400|1996800|2227200|2227200|1785600|3513600|3513600|2918400|3513600|64100|27400|0|no
1789993122|2227200|1555200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|59800|27400|0|no
1789993123|2918400|1996800|1996800|1996800|1996800|1363200|3513600|3513600|2918400|3513600|65600|27400|0|no
1789993123|2745600|2745600|1996800|1996800|1555200|1152000|3513600|3513600|2918400|3513600|61000|27400|0|no
1789993124|3072000|1996800|1996800|1555200|1363200|1152000|3801600|3801600|3532800|4320000|55200|27400|0|no
1789993125|2227200|2227200|2227200|2227200|1785600|1785600|3513600|3513600|2918400|3513600|52900|27400|0|no
1789993125|2227200|2227200|2227200|2227200|1996800|1363200|1017600|1017600|2918400|3513600|40100|27400|0|no
1789993126|2918400|2400000|1996800|1785600|1555200|1363200|1017600|1017600|2918400|3513600|37800|27400|0|no
1789993126|2227200|2400000|2400000|2400000|2400000|2745600|1017600|1017600|2918400|3513600|36300|27400|0|no
1789993127|1555200|2400000|2227200|2227200|1555200|2400000|1017600|1017600|2918400|3513600|35500|27400|0|no
1789993128|2400000|2400000|2400000|2400000|2227200|2400000|1017600|1017600|2918400|3513600|35100|27400|0|no
1789993128|1996800|2400000|2400000|2227200|1785600|2400000|1017600|1017600|2918400|3513600|34700|27400|0|no
1789993129|2400000|2227200|2227200|1785600|1363200|1152000|1017600|1017600|2918400|3513600|34700|27400|0|no
1789993130|2400000|2400000|1785600|1785600|2400000|2400000|1017600|1017600|2918400|3513600|34700|27400|0|no
1789993130|2918400|2745600|2745600|2227200|2400000|2400000|3513600|3513600|2918400|3513600|47100|27400|0|no
1789993131|3532800|3532800|3532800|3532800|3532800|3532800|4320000|4320000|3532800|3513600|74100|27400|0|no
1789993132|3532800|3532800|3532800|3532800|3532800|3532800|4320000|4320000|3532800|4320000|84100|27400|0|no
1789993133|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|78700|27400|0|no
1789993134|2745600|2745600|2745600|2745600|2745600|2745600|3513600|3513600|2918400|3513600|76400|27400|0|no
1789993134|1555200|1555200|1555200|1555200|1555200|1555200|1958400|1958400|1555200|1958400|59800|27400|0|no
1789993135|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3072000|3801600|63700|27400|1|no
1789993135|1785600|1555200|1363200|1152000|2400000|2400000|1017600|1017600|3532800|4320000|45900|27400|1|no
1789993136|2400000|2400000|1785600|1785600|2400000|2400000|1017600|1017600|2918400|3513600|42800|27400|1|no
1789993137|2227200|1996800|2227200|1996800|1996800|2227200|1689600|1017600|2918400|3513600|43600|27400|0|no
1789993137|2227200|2227200|2227200|2227200|2400000|2745600|1017600|1017600|2918400|3513600|40900|27400|0|no
1789993138|1555200|1363200|1152000|1996800|2918400|2918400|1017600|1017600|2918400|3513600|39700|27400|0|no
1789993139|2400000|2400000|2400000|2400000|2400000|1996800|1017600|1017600|2918400|3513600|38600|27400|0|no
1789993139|2400000|2745600|2918400|2745600|2745600|2745600|1017600|3513600|2918400|3513600|39300|27400|0|no
1789993140|2227200|2227200|2400000|2400000|2400000|2227200|1017600|1017600|2918400|3513600|37800|27400|0|no
1789993140|2400000|2227200|1996800|1996800|1996800|2227200|3513600|3513600|2918400|3513600|41700|27400|0|no
1789993141|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|42400|27400|0|no
1789993142|2745600|2745600|2918400|2918400|2400000|1996800|3513600|3513600|2918400|3513600|43600|27400|0|no
1789993142|1996800|2918400|2227200|2227200|1996800|1996800|3513600|3513600|2918400|3513600|50200|27400|0|no
1789993143|2918400|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|50500|27400|0|no
1789993143|2918400|2918400|2918400|2227200|2918400|2918400|3513600|3513600|2918400|3513600|53600|27400|0|no
1789993144|2918400|2918400|2227200|2227200|2400000|2400000|3513600|3513600|2918400|3513600|54800|27400|0|no
1789993145|2227200|2227200|2918400|2745600|2745600|2227200|3513600|3513600|2918400|3513600|54400|27400|0|no
1789993145|2918400|2918400|2918400|2918400|2918400|2400000|3513600|3513600|2918400|3513600|54800|27400|0|no
1789993146|2918400|2918400|2227200|2227200|2918400|2918400|3513600|3513600|2918400|3513600|66800|27400|0|no
1789993147|2918400|2918400|2745600|2918400|2918400|2918400|3513600|3513600|2918400|3513600|72200|27400|0|no
1789993147|2400000|2400000|1996800|3072000|3072000|3072000|3801600|3801600|3532800|4320000|66000|27400|0|no
1789993148|1785600|1996800|1996800|2227200|1996800|1996800|3513600|3513600|2918400|3513600|68300|27400|0|no
1789993148|2918400|2918400|2400000|1996800|1996800|2918400|3513600|3513600|2918400|3513600|59800|27400|0|no
1789993149|2918400|2918400|2745600|2745600|2745600|2745600|1017600|1017600|2918400|3513600|42800|27400|0|no
1789993150|2400000|2400000|2400000|2227200|2227200|2227200|1017600|1017600|2918400|3513600|40900|27400|0|no
1789993150|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|2918400|3513600|39700|27400|0|no
1789993151|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|39000|27400|0|no
1789993151|2918400|2400000|2400000|2745600|2918400|2918400|1017600|1017600|2918400|3513600|39000|27400|0|no
1789993152|2227200|1555200|1555200|2745600|2400000|2400000|1017600|1017600|2918400|3513600|38200|27400|0|no
1789993153|2400000|2400000|2918400|2745600|2400000|2400000|1017600|1017600|2918400|3513600|37800|27400|0|no
1789993153|2227200|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|37000|27400|0|no
1789993154|2227200|2227200|2918400|2227200|1785600|1785600|3513600|3513600|2918400|3513600|57500|27400|0|no
1789993154|1785600|1785600|2918400|1996800|1996800|2918400|3513600|3513600|2918400|3513600|57900|27400|0|no
1789993155|2227200|1555200|1785600|1785600|2918400|2745600|3513600|3513600|2918400|3513600|57500|27400|0|no
1789993156|2918400|2918400|2918400|2918400|2918400|2227200|3513600|3513600|2918400|3513600|59400|27400|0|no
1789993156|2918400|2918400|2227200|1785600|1785600|1785600|3513600|3513600|2918400|3513600|60200|27400|0|no
1789993157|2918400|1996800|2227200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|57900|27400|0|no
1789993157|2918400|2918400|2918400|2918400|2918400|2227200|3513600|3513600|2918400|3513600|59400|27400|0|no
1789993158|2918400|2918400|2918400|2918400|2227200|2227200|3513600|3513600|2918400|3513600|59800|27400|0|no
1789993159|2227200|1996800|2227200|1996800|2918400|2918400|3513600|3513600|2918400|3513600|61000|27400|0|no
1789993159|2227200|2227200|1996800|2918400|2918400|2918400|3513600|3513600|2918400|3513600|59400|27400|0|no
1789993160|2400000|2400000|1996800|1555200|1152000|2918400|3513600|3513600|2918400|3513600|60200|27400|0|no
1789993160|2918400|1996800|1996800|1996800|1996800|1555200|3513600|3513600|2918400|3513600|59400|27400|0|no
1789993161|2918400|2745600|2745600|2918400|2918400|2918400|3513600|3513600|2918400|3513600|59800|27400|0|no
1789993162|2400000|2227200|1996800|1996800|1996800|2918400|3513600|3513600|2918400|3513600|61400|27400|0|no
1789993162|2227200|2227200|2400000|2918400|2918400|1996800|3513600|3513600|2918400|3513600|60200|27400|0|no
1789993163|1785600|1785600|1363200|1363200|1152000|1152000|3513600|3513600|2918400|3513600|58700|27400|0|no
1789993164|2918400|2918400|2918400|2745600|2745600|2745600|1017600|1017600|2918400|3513600|41700|27400|0|no
1789993164|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|39700|27400|0|no
1789993165|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|38600|27400|0|no
1789993165|2227200|2227200|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|38600|27400|0|no
1789993166|2745600|2400000|2400000|2918400|2918400|2918400|1017600|1017600|2918400|3513600|38200|27400|0|no
1789993167|748800|960000|1152000|1363200|1363200|2400000|1017600|1017600|2918400|3513600|37000|27400|0|no
1789993167|2918400|2745600|2918400|2918400|2918400|2400000|1017600|1017600|2918400|3513600|37000|27400|0|no
1789993168|1555200|1555200|1363200|1555200|1555200|1785600|1017600|1017600|2918400|3513600|36600|27300|0|no
1789993169|1555200|1555200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|61000|27300|0|no
1789993169|1152000|1152000|1152000|1152000|1152000|2918400|3513600|3513600|2918400|3513600|64500|27300|0|no
1789993170|1363200|1363200|1152000|1363200|1363200|1555200|3513600|3513600|2918400|3513600|61400|27300|0|no
1789993171|1152000|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|67900|27300|0|no
1789993171|1363200|1555200|1555200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|69100|27300|0|no
1789993172|960000|960000|960000|1152000|2918400|2918400|1017600|1017600|2918400|3513600|43600|27300|0|no
1789993172|2918400|2918400|2918400|2918400|2918400|2918400|1017600|1017600|2918400|3513600|40100|27300|0|no
1789993173|1996800|1996800|1996800|1996800|1996800|2400000|1017600|1017600|2918400|3513600|38600|27200|0|no
1789993174|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|2918400|3513600|37800|27200|0|no
1789993174|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|37000|27200|0|no
1789993175|2400000|2400000|1555200|1555200|2745600|2400000|1017600|1017600|2918400|3513600|36600|27200|0|no
1789993176|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|2918400|3513600|36300|27200|0|no
1789993176|2745600|2918400|2400000|2745600|2745600|2918400|1017600|1017600|2918400|3513600|35900|27200|0|no
1789993177|1152000|1152000|1152000|1152000|1363200|1363200|3513600|3513600|2918400|3513600|53200|27200|0|no
1789993178|1152000|1152000|1363200|1363200|1555200|1555200|3513600|3513600|2918400|3513600|55600|27200|0|no
1789993178|1363200|1363200|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|61700|27200|0|no
1789993179|1152000|1363200|1363200|2918400|2918400|2918400|3513600|3513600|2918400|3513600|63700|27200|0|no
