# started 2026-09-21 14:35:43  level/status: level=3 held=yes cfb=0 prime=3513600 junc=34C left=常开 pids=12628 21522 26316 8945 
# p6max=3513600 p0max=3532800 cfb=0
# node=0:3532800 1:3532800 2:3532800 3:3532800 4:3532800 5:3532800 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789994143|2227200|1785600|1785600|1785600|1785600|1996800|3513600|3513600|3532800|3513600|39300|25600|0|no
1789994144|2227200|2400000|2400000|2400000|2227200|1996800|1017600|1017600|3532800|3513600|34300|25600|0|no
1789994144|2227200|2400000|2400000|2400000|2400000|2227200|1017600|1017600|3532800|3513600|33600|25600|0|no
1789994145|2400000|2400000|1785600|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33600|25600|0|no
1789994145|2400000|2400000|1996800|1555200|1555200|1785600|1017600|1017600|3532800|3513600|33600|25600|0|no
1789994146|2400000|2400000|2227200|2227200|1785600|1363200|1017600|1017600|3532800|3513600|33900|25600|0|no
1789994147|2227200|2400000|2400000|2400000|2227200|1785600|1017600|1017600|3532800|3513600|33200|25600|0|no
1789994147|2400000|2400000|2227200|2227200|2745600|2745600|1017600|1017600|3532800|3513600|33600|25600|0|no
1789994148|1152000|2400000|2400000|2227200|1785600|1785600|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994149|2400000|2227200|2227200|2227200|2400000|2400000|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994149|2400000|2400000|2400000|2400000|2400000|2400000|3513600|3513600|3532800|3513600|39000|25500|0|no
1789994150|2400000|2227200|1785600|1996800|1996800|2227200|1017600|1017600|3532800|3513600|34300|25500|0|no
1789994150|2227200|2227200|2227200|1785600|1555200|1363200|1017600|1017600|3532800|3513600|33600|25500|0|no
1789994151|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33900|25500|0|no
1789994152|2400000|1785600|1555200|1996800|1555200|1363200|1017600|1017600|3532800|3513600|33900|25500|0|no
1789994152|2400000|2227200|1555200|1555200|1152000|2400000|1017600|1017600|3532800|3513600|33600|25500|0|no
1789994153|1996800|2227200|2227200|1996800|1785600|1785600|1017600|1017600|3532800|3513600|33200|25600|0|no
1789994153|2400000|2400000|2227200|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33600|25600|0|no
1789994154|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33200|25600|0|no
1789994155|2400000|2400000|2400000|2227200|2400000|1785600|1017600|1017600|3532800|3513600|33200|25600|0|no
1789994155|3072000|3072000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33600|25600|0|no
1789994156|2400000|3072000|2745600|2400000|2918400|2745600|1017600|1017600|3532800|3513600|33200|25600|0|no
1789994157|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25600|0|no
1789994157|960000|960000|2400000|2400000|2400000|2227200|1017600|1017600|3532800|3513600|32800|25600|0|no
1789994158|2227200|2227200|2227200|1785600|1785600|1996800|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994159|2400000|2745600|2400000|2745600|2918400|2918400|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994159|960000|1152000|1152000|1152000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994160|960000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994161|2400000|2400000|2400000|2400000|1996800|1996800|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994161|2400000|2745600|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994162|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994162|2745600|2745600|2400000|2400000|2227200|2227200|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994163|2227200|2227200|2227200|1555200|1555200|1152000|1017600|1017600|3532800|3513600|32000|25500|0|no
1789994164|2400000|3072000|3072000|2745600|2745600|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994164|1785600|1363200|1152000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994165|1363200|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994166|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994166|3072000|3072000|2745600|3072000|2745600|3072000|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994167|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994168|2400000|2400000|2400000|2400000|2400000|2227200|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994168|1152000|1152000|1152000|2745600|2400000|2400000|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994169|3072000|2400000|2745600|3072000|2745600|3072000|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994170|2400000|2400000|1785600|1785600|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994170|1363200|2400000|2400000|2227200|2227200|2227200|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994171|1152000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994171|3072000|3072000|2745600|2745600|2745600|3072000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994172|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994173|2400000|2400000|1785600|1785600|1996800|1996800|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994173|2400000|2400000|2400000|2400000|2400000|1785600|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994174|2918400|2745600|3072000|2400000|3072000|2400000|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994175|960000|2400000|2400000|1785600|1785600|1785600|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994175|3072000|3072000|3072000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994176|2400000|2400000|2400000|2400000|2400000|1996800|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994177|3072000|2745600|2745600|3072000|3072000|3072000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994177|2745600|2400000|1785600|1785600|1555200|1555200|1017600|1017600|3532800|3513600|32000|25500|0|no
1789994178|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994178|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994179|1555200|1555200|2745600|2745600|2400000|3072000|3513600|3513600|3532800|3513600|40900|25500|0|no
1789994180|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|41300|25500|0|no
1789994180|3072000|3072000|3072000|3072000|2745600|2745600|3513600|3513600|3532800|3513600|41700|25500|0|no
1789994181|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57100|25500|0|no
1789994181|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47500|25500|0|no
1789994182|3072000|3072000|3072000|3072000|2918400|2918400|3513600|3513600|3532800|3513600|50500|25500|0|no
1789994183|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3072000|3801600|70200|25500|0|no
1789994183|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3532800|4320000|78700|25500|0|no
