t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
40,1024,7,2918400,3283200,3283200,3283200,44800,37200
400,1024,6,2918400,3283200,3283200,3283200,55600,37200
740,1024,6,2918400,3283200,3283200,3283200,57100,37200
1060,1024,6,2918400,3283200,3283200,3283200,69500,37200
1400,1024,6,2918400,3283200,3283200,3283200,61000,37200
1750,1024,6,2918400,3283200,3283200,3283200,60200,37200
2070,1024,6,2918400,3283200,3283200,3283200,60200,37200
2400,1024,7,2918400,3283200,3283200,3283200,72200,37200
2750,1024,6,2918400,3283200,3283200,3283200,60200,37200
3080,1024,6,2918400,3283200,3283200,3283200,60200,37200
3420,1024,7,2918400,3283200,3283200,3283200,72600,37200
3760,1024,7,2918400,3283200,3283200,3283200,72900,37200
4100,1024,6,2918400,3283200,3283200,3283200,61000,37200
4450,1024,6,2918400,3283200,3283200,3283200,65200,37200
4790,1024,6,2918400,3283200,3283200,3283200,61000,37200
5100,1024,7,2918400,3283200,3283200,3283200,72900,37200
5430,1024,7,2918400,3283200,3283200,3283200,73300,37200
5760,1024,6,2918400,3283200,3283200,3283200,62500,37200
6080,1024,6,2918400,3283200,3283200,3283200,62100,37200
6410,1024,7,2918400,3283200,3283200,3283200,73700,37200
6740,1024,7,2918400,3283200,3283200,3283200,73700,37200
7090,1024,7,2918400,3283200,3283200,3283200,74100,37200
7440,1024,7,2918400,3283200,3283200,3283200,74100,37200
7770,1024,6,2918400,3283200,3283200,3283200,62100,37200
8100,1024,6,2918400,3283200,3283200,3283200,62100,37200
8410,1024,7,2918400,3283200,3283200,3283200,72600,37200
8740,1024,7,2918400,3283200,3283200,3283200,73700,37200
9090,1024,7,2918400,3283200,3283200,3283200,74100,37200
9430,1024,6,2918400,3283200,3283200,3283200,74500,37200
9770,1024,6,2918400,3283200,3283200,3283200,62500,37200
10120,1024,6,2918400,3283200,3283200,3283200,62500,37200
10440,1024,6,2918400,3283200,3283200,3283200,62500,37200
10770,1024,6,2918400,3283200,3283200,3283200,62500,37200
11090,1024,6,2918400,3283200,3283200,3283200,62500,37200
11410,1024,6,2918400,3283200,3283200,3283200,62500,37200
11730,1024,6,2918400,3283200,3283200,3283200,62500,37200
12060,1024,6,2918400,3283200,3283200,3283200,62900,37200
12410,1024,6,2918400,3283200,3283200,3283200,62900,37200
12750,1024,6,2918400,3283200,3283200,3283200,62900,37200
13070,1024,6,2918400,3283200,3283200,3283200,62900,37200
