t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
40,1024,3,2400000,1689600,1689600,2400000,44800,37500
350,1024,3,2400000,1689600,1689600,2400000,45900,37500
660,1024,3,2400000,1689600,1689600,2400000,46300,37600
960,1024,3,2400000,1689600,1689600,2400000,46300,37600
1300,1024,7,2400000,1689600,1689600,1689600,50500,37600
1640,1024,6,2400000,1689600,1689600,1689600,49400,37600
1990,1024,6,2400000,1689600,1689600,1689600,49000,37600
2310,1024,7,2400000,1689600,1689600,1689600,53600,37600
2640,1024,7,2400000,1689600,1689600,1689600,52900,37600
2980,1024,7,2400000,1689600,1689600,1689600,52900,37600
3320,1024,6,2400000,1689600,1689600,1689600,49800,37600
3670,1024,7,2400000,1689600,1689600,1689600,52500,37600
4010,1024,7,2400000,1689600,1689600,1689600,52500,37600
4350,1024,7,2400000,1689600,1689600,1689600,52500,37600
4690,1024,6,2400000,1689600,1689600,1689600,49400,37600
5030,1024,6,2400000,1689600,1689600,1689600,49000,37600
5360,1024,6,2400000,1689600,1689600,1689600,49400,37600
5700,1024,7,2400000,1689600,1689600,1689600,52900,37600
6040,1024,7,2400000,1689600,1689600,1689600,52500,37600
6370,1024,6,2400000,1689600,1689600,1689600,49800,37600
6690,1024,6,2400000,1689600,1689600,1689600,49400,37600
7030,1024,6,2400000,1689600,1689600,1689600,49400,37600
7360,1024,7,2400000,1689600,1689600,1689600,51700,37600
7700,1024,7,2400000,1689600,1689600,1689600,52900,37600
8040,1024,6,2400000,1689600,1689600,1689600,49400,37600
8360,1024,6,2400000,1689600,1689600,1689600,49800,37600
8710,1024,6,2400000,1689600,1689600,1689600,49400,37600
9050,1024,6,2400000,1689600,1689600,1689600,49800,37600
9410,1024,6,2400000,1689600,1689600,1689600,49400,37600
9730,1024,7,2400000,1689600,1689600,1689600,52900,37600
10070,1024,7,2400000,1689600,1689600,1689600,53200,37600
10430,1024,7,2400000,1689600,1689600,1689600,53200,37600
10760,1024,6,2400000,1689600,1689600,1689600,49800,37600
11090,1024,6,2400000,1689600,1689600,1689600,49800,37600
11430,1024,7,2400000,1689600,1689600,1689600,50900,37600
11770,1024,6,2400000,1689600,1689600,1689600,49800,37600
12120,1024,6,2400000,1689600,1689600,1689600,50200,37600
12470,1024,6,2400000,1689600,1689600,1689600,49800,37600
12820,1024,6,2400000,1689600,1689600,1689600,49400,37600
