t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,3,2918400,3283200,3283200,2400000,43600,37700
350,1024,7,2918400,3283200,3283200,3283200,66000,37700
680,1024,7,2918400,3283200,3283200,3283200,67900,37700
1020,1024,7,2918400,3283200,3283200,3283200,68700,37700
1370,1024,7,2918400,3283200,3283200,3283200,69500,37700
1700,1024,6,2918400,3283200,3283200,3283200,58700,37700
2010,1024,6,2918400,3283200,3283200,3283200,58700,37700
2330,1024,6,2918400,3283200,3283200,3283200,59000,37700
2700,1024,6,2918400,3283200,3283200,3283200,59400,37700
3030,1024,6,2918400,3283200,3283200,3283200,59800,37700
3380,1024,6,2918400,3283200,3283200,3283200,60200,37700
3690,1024,6,2918400,3283200,3283200,3283200,60600,37700
4020,1024,6,2918400,3283200,3283200,3283200,60600,37700
4360,1024,6,2918400,3283200,3283200,3283200,61000,37700
4690,1024,6,2918400,3283200,3283200,3283200,61000,37700
5030,1024,6,2918400,3283200,3283200,3283200,61000,37700
5360,1024,6,2918400,3283200,3283200,3283200,61000,37700
5670,1024,7,2918400,3283200,3283200,3283200,73300,37700
5990,1024,7,2918400,3283200,3283200,3283200,73300,37700
6330,1024,7,2918400,3283200,3283200,3283200,73700,37700
6660,1024,6,2918400,3283200,3283200,3283200,61700,37700
7000,1024,6,2918400,3283200,3283200,3283200,61700,37700
7320,1024,6,2918400,3283200,3283200,3283200,61400,37700
7650,1024,7,2918400,3283200,3283200,3283200,74100,37700
7970,1024,7,2918400,3283200,3283200,3283200,73700,37700
8290,1024,7,2918400,3283200,3283200,3283200,73700,37700
8620,1024,6,2918400,3283200,3283200,3283200,62100,37700
8960,1024,7,2918400,3283200,3283200,3283200,74100,37700
9290,1024,7,2918400,3283200,3283200,3283200,74900,37700
9620,1024,7,2918400,3283200,3283200,3283200,74900,37700
9950,1024,7,2918400,3283200,3283200,3283200,74900,37700
10290,1024,6,2918400,3283200,3283200,3283200,62500,37700
10630,1024,6,2918400,3283200,3283200,3283200,62900,37700
10950,1024,6,2918400,3283200,3283200,3283200,62900,37700
11280,1024,6,2918400,3283200,3283200,3283200,62900,37700
11630,1024,6,2918400,3283200,3283200,3283200,62900,37700
11980,1024,6,2918400,3283200,3283200,3283200,63300,37700
12310,1024,6,2918400,3283200,3283200,3283200,62900,37700
12650,1024,7,2918400,3283200,3283200,3283200,74500,37700
12980,1024,7,2918400,3283200,3283200,3283200,74900,37700
13310,1024,7,2918400,3283200,3283200,3283200,75700,37700
13640,1024,6,2918400,3283200,3283200,3283200,75300,37700
13970,1024,6,2918400,3283200,3283200,3283200,63300,37700
14300,1024,7,2918400,3283200,3283200,3283200,73700,37700
14640,1024,7,2918400,3283200,3283200,3283200,75300,37700
14970,1024,7,2918400,3283200,3283200,3283200,75300,37700
15290,1024,7,2918400,3283200,3283200,3283200,75300,37700
15620,1024,6,2918400,3283200,3283200,3283200,63700,37700
15960,1024,6,2918400,3283200,3283200,3283200,63300,37700
16290,1024,6,2918400,3283200,3283200,3283200,63700,37700
16640,1024,6,2918400,3283200,3283200,3283200,64100,37700
16990,1024,6,2918400,3283200,3283200,3283200,63700,37700
17320,1024,6,2918400,3283200,3283200,3283200,64100,37700
17640,1024,6,2918400,3283200,3283200,3283200,64100,37700
17970,1024,6,2918400,3283200,3283200,3283200,64100,37700
18300,1024,6,2918400,3283200,3283200,3283200,64500,37700
18640,1024,7,2918400,3283200,3283200,3283200,76000,37700
18960,1024,7,2918400,3283200,3283200,3283200,76400,37700
19300,1024,7,2918400,3283200,3283200,3283200,76400,37700
19640,1024,7,2918400,3283200,3283200,3283200,76000,37700
19980,1024,7,2918400,3283200,3283200,3283200,76000,37700
20310,1024,7,2918400,3283200,3283200,3283200,76400,37700
20640,1024,7,2918400,3283200,3283200,3283200,76800,37700
20960,1024,7,2918400,3283200,3283200,3283200,76000,37700
21270,1024,7,2918400,3283200,3283200,3283200,76400,37700
21600,1024,6,2918400,3283200,3283200,3283200,64800,37700
21930,1024,6,2918400,3283200,3283200,3283200,64500,37700
22250,1024,6,2918400,3283200,3283200,3283200,64500,37700
22580,1024,7,2918400,3283200,3283200,3283200,76800,37700
22900,1024,7,2918400,3283200,3283200,3283200,76400,37700
23230,1024,7,2918400,3283200,3283200,3283200,76400,37700
23560,1024,7,2918400,3283200,3283200,3283200,76800,37700
23900,1024,7,2918400,3283200,3283200,3283200,77200,37700
24250,1024,7,2918400,3283200,3283200,3283200,76800,37700
24590,1024,7,2918400,3283200,3283200,3283200,77200,37800
24930,1024,7,2918400,3283200,3283200,3283200,76800,37800
25280,1024,7,2918400,3283200,3283200,3283200,77200,37800
25610,1024,6,2918400,3283200,3283200,3283200,64800,37800
25960,1024,6,2918400,3283200,3283200,3283200,65200,37800
26300,1024,6,2918400,3283200,3283200,3283200,65200,37800
26650,1024,6,2918400,3283200,3283200,3283200,64800,37800
26990,1024,6,2918400,3283200,3283200,3283200,64800,37800
27330,1024,7,2918400,3283200,3283200,3283200,76400,37800
27650,1024,6,2918400,3283200,3283200,3283200,65200,37800
28000,1024,6,2918400,3283200,3283200,3283200,64800,37800
28330,1024,6,2918400,3283200,3283200,3283200,64800,37800
28670,1024,6,2918400,3283200,3283200,3283200,65200,37800
28980,NA,-1,2918400,3283200,3283200,0,64800,37800
