t_ms,uclamp,psr,vcs,cpu
20,1024,7,1,209
310,1024,7,1,237
590,1024,7,1,265
880,1024,7,1,293
1160,1024,7,1,322
1440,1024,7,1,350
1720,1024,7,1,378
2010,1024,7,1,407
2290,1024,7,1,435
2580,1024,7,1,463
2870,1024,7,1,492
3150,466,7,1,520
3440,466,7,1,548
3720,466,7,1,576
4000,466,7,1,604
4280,466,6,1,632
4570,466,6,1,661
4850,466,6,1,689
5130,466,6,1,717
5420,466,6,1,745
5700,466,6,1,773
5990,466,6,1,802
6270,466,6,1,830
6550,466,6,1,858
6840,466,6,1,886
7120,466,6,1,915
7400,466,6,1,942
7690,466,6,1,971
7970,466,6,1,998
8250,466,6,1,1027
8540,466,6,1,1055
8820,466,6,1,1083
9100,466,6,1,1111
9390,466,6,1,1139
9670,466,6,1,1168
9950,466,6,1,1196
10240,466,6,1,1224
10520,466,6,1,1252
10800,466,6,1,1280
11090,466,6,1,1308
11370,466,6,1,1336
11650,466,6,1,1364
11930,466,6,1,1392
12220,466,6,1,1420
12500,466,6,1,1448
12780,466,6,1,1477
13060,466,6,1,1504
13350,466,6,1,1533
13630,466,6,1,1561
13910,466,6,1,1589
14200,466,6,1,1617
14480,466,6,1,1645
14760,466,6,1,1673
15050,466,6,1,1701
15330,466,6,1,1730
15620,466,6,1,1758
15900,466,6,1,1786
16190,466,6,1,1815
16470,466,6,1,1843
16750,466,6,1,1871
17030,466,6,1,1899
17320,466,6,1,1926
17600,466,6,1,1955
17880,466,6,1,1983
18170,466,6,1,2011
18450,466,6,1,2039
18730,466,6,1,2067
19020,466,6,1,2095
19300,466,6,1,2124
19580,466,6,1,2152
19870,466,6,1,2180
20150,466,6,1,2208
20440,466,6,1,2236
20720,466,6,1,2264
21000,466,6,1,2293
21290,466,6,1,2321
21570,466,6,1,2349
21860,466,6,1,2377
22140,466,6,1,2405
22420,466,6,1,2434
22700,466,6,1,2462
22990,466,6,1,2490
23270,466,6,1,2518
23560,466,7,1,2544
23840,466,7,1,2572
24130,466,7,1,2600
24410,466,7,1,2629
24690,466,7,1,2657
24990,466,7,1,2686
25270,466,7,1,2715
25560,466,7,1,2743
25850,466,7,1,2772
26130,466,7,1,2800
26420,466,7,1,2829
