t_ms,uclamp,psr
30,1024,7
350,1024,7
680,1024,6
970,1024,6
1290,1024,6
1620,1024,6
1940,1024,7
2270,1024,7
2590,1024,7
2910,1024,7
3210,1024,7
3530,1024,7
3860,1024,6
4190,1024,7
4490,1024,7
4800,1024,7
5110,1024,7
5420,1024,6
5720,1024,6
6020,1024,6
6330,1024,6
6630,1024,6
6940,1024,6
7230,1024,6
7530,1024,6
7830,1024,6
8140,1024,6
8440,1024,6
8750,1024,7
9070,1024,6
9360,1024,6
9660,1024,6
9960,1024,6
10260,1024,6
10570,1024,6
10860,1024,6
11170,1024,6
11470,1024,6
11770,1024,6
12070,1024,7
12370,1024,7
12680,1024,7
13000,1024,7
13300,1024,7
13590,1024,7
13900,1024,7
14190,1024,7
14490,1024,7
14790,1024,7
15090,1024,7
15390,1024,7
15680,1024,7
15970,1024,7
16290,1024,7
16580,1024,7
16870,1024,7
17180,1024,7
17470,466,0
17750,466,4
18040,466,0
18320,466,5
18590,466,5
18870,466,0
19150,466,4
19430,466,4
19710,466,5
19990,466,4
20280,466,5
20560,466,5
20840,466,5
21120,466,3
21410,466,3
21690,466,4
21960,466,5
22240,466,5
22520,466,5
22810,466,5
23090,466,1
23370,466,5
23640,466,5
23930,466,0
24210,466,5
24490,466,4
24770,466,5
25050,466,4
25330,466,0
25610,466,1
25900,466,0
26170,466,5
26450,466,0
26730,466,1
27020,466,4
27300,466,4
27580,466,0
27860,466,1
28140,466,1
28430,466,0
28710,466,0
28990,466,4
29270,466,0
29550,466,1
29830,466,0
30120,466,4
30390,466,4
30670,466,1
30960,466,0
31230,466,1
31510,466,4
31790,466,4
32070,466,0
32360,466,4
32640,466,4
32910,466,0
33190,466,0
33480,466,1
33760,466,5
34040,466,5
34320,466,5
34600,466,5
34890,466,1
35180,466,1
35460,466,2
35740,466,1
36030,466,4
36310,466,5
36590,466,4
36870,466,0
37160,466,5
37440,466,5
37720,466,0
37990,466,5
38270,466,4
38560,466,4
38840,466,4
39120,466,5
39400,466,0
39680,466,0
39960,466,0
40240,466,4
40510,466,4
40790,466,4
41080,466,5
41360,466,1
41650,466,5
41930,466,4
42220,466,1
42520,466,5
42800,466,0
43080,466,1
43360,466,3
43640,466,4
43920,466,1
44200,466,1
44480,466,1
44760,466,0
45050,466,5
45330,466,5
45610,466,0
45890,466,0
46170,466,5
46460,466,1
46740,466,0
47020,466,0
47300,466,5
47580,466,0
47860,466,0
48140,466,5
48420,466,1
48690,466,0
48980,466,1
49270,466,5
49540,466,1
49820,466,5
50110,466,4
50390,466,5
50680,466,1
50960,466,1
51230,466,0
51520,466,4
51800,466,0
52080,466,0
52360,466,1
52640,466,1
52920,466,4
53200,466,0
53470,466,5
53750,466,0
54030,466,0
54320,466,5
54590,466,0
54870,466,4
55150,466,1
55440,466,4
55720,466,1
56000,466,0
56270,466,4
56550,466,5
56840,466,5
57120,466,1
57400,466,0
57680,466,5
57960,466,0
58240,466,1
58520,466,5
58810,466,5
59090,466,0
59370,466,0
59640,466,5
59930,466,1
60220,466,4
60500,466,5
60770,466,0
61060,466,5
61350,466,5
61630,466,5
61910,466,0
62190,466,5
62460,466,1
62750,466,5
63030,466,0
63310,466,5
63590,466,5
63880,466,0
64160,466,0
64440,466,4
64720,466,1
65000,466,1
65290,466,1
65560,466,5
65850,466,5
66140,466,4
66420,466,5
66700,466,5
66980,466,4
67260,466,5
67540,466,5
67820,466,4
68100,466,0
68380,466,5
68660,466,5
