t_ms,uclamp,psr
30,1024,7
340,1024,7
640,1024,7
940,1024,7
1250,1024,7
1560,1024,7
1850,1024,7
2150,1024,7
2450,1024,7
2750,1024,7
3050,1024,7
3350,1024,7
3650,1024,7
3960,466,7
4270,466,7
4570,466,7
4870,466,6
5180,466,6
5500,466,6
5810,466,6
6130,466,6
6450,466,6
6780,466,6
7110,466,6
7400,466,6
7710,466,6
8030,466,6
8340,466,6
8660,466,6
8990,466,6
9300,466,6
9630,466,6
9950,466,6
10280,466,6
10600,466,6
10940,466,6
11240,466,6
11570,466,6
11890,466,6
12200,466,6
12500,466,6
12810,466,6
13120,466,6
13430,466,6
13740,466,6
14070,466,6
14380,466,6
14710,466,6
15030,466,6
15320,466,6
15630,466,6
15940,466,6
16260,466,6
16570,466,6
16890,466,6
17180,466,6
17490,466,6
17800,466,6
18130,466,6
18450,466,6
18780,466,6
19110,466,6
19430,466,6
19740,466,6
20060,466,6
20390,466,6
20700,466,6
21040,466,6
21360,466,6
21690,466,6
21990,466,6
22310,466,6
22630,466,6
22940,466,6
23270,466,6
23590,466,6
23900,466,6
24200,466,6
24510,466,6
24850,466,6
25150,466,6
25470,466,6
25800,466,6
26120,466,6
26420,466,6
26730,466,6
27040,466,6
27350,466,6
27660,466,6
27970,466,6
28290,466,6
28610,466,6
28930,466,6
29250,466,6
29560,466,6
29880,466,6
30200,466,6
30520,466,6
30850,466,6
31150,466,6
31470,466,6
31790,466,6
32100,466,6
32410,466,6
32740,466,6
33060,466,6
33390,466,6
33710,466,6
34040,466,6
34350,466,6
34660,466,6
34980,466,6
35280,466,6
35590,466,6
35880,466,6
36200,466,6
36500,466,6
36810,466,6
37120,466,6
37450,466,6
37780,466,6
38110,466,6
38440,466,6
38760,466,6
39080,466,6
39390,466,6
39700,466,6
40010,466,6
40330,466,6
40660,466,6
40990,466,6
41310,466,6
41630,466,6
41940,466,6
42260,466,6
42580,466,6
42900,466,6
43230,466,6
43540,466,6
43850,466,6
44160,466,6
44480,466,6
44800,466,6
45120,466,6
45460,466,6
45780,466,6
46100,466,6
46440,466,6
46760,466,6
47080,466,6
47400,466,6
47720,466,6
48030,466,6
48360,466,6
48670,466,6
48990,466,6
49310,466,6
49630,466,6
49960,466,6
50280,466,6
50600,466,6
50920,466,6
51250,466,6
51560,466,6
51870,466,6
52190,466,6
52510,466,6
52850,466,6
53160,466,6
53470,466,6
53780,466,6
54100,466,6
54420,466,6
54740,466,6
55060,466,6
55380,466,6
55700,466,6
56030,466,6
56360,466,6
56700,466,6
57010,466,6
57330,466,6
57660,466,6
57980,466,6
58300,466,6
58610,466,6
58930,466,6
59220,466,6
59550,466,6
59870,466,6
60190,466,6
60510,466,6
60830,466,6
61170,466,6
61510,466,6
61830,466,6
62160,466,6
62470,466,6
62770,466,6
63100,466,6
63410,466,6
63740,466,6
64050,466,6
64360,466,6
64670,466,6
64960,466,6
65270,466,6
65600,466,6
65920,466,6
66250,466,6
66570,466,6
66890,466,6
67230,466,6
67550,466,6
67880,466,6
68190,466,6
68510,466,6
68820,466,6
69150,466,6
69480,466,6
69790,466,6
70110,466,6
70420,466,6
70740,466,6
71050,466,6
71370,466,6
71690,466,6
72020,466,6
72330,466,6
72640,466,6
72960,466,6
73280,466,6
73610,466,6
73940,466,6
74270,466,6
74610,466,6
74930,466,6
75260,466,6
75590,466,6
75900,466,6
