t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,5,2918400,3283200,3283200,2400000,44000,36100
360,1024,6,2918400,3283200,3283200,3283200,55200,36100
690,1024,6,2918400,3283200,3283200,3283200,56300,36100
1020,1024,6,2918400,3283200,3283200,3283200,57100,36100
1350,1024,6,2918400,3283200,3283200,3283200,57900,36100
1670,1024,6,2918400,3283200,3283200,3283200,58300,36100
1970,1024,6,2918400,3283200,3283200,3283200,58700,36100
2300,1024,6,2918400,3283200,3283200,3283200,59400,36100
2640,1024,6,2918400,3283200,3283200,3283200,59400,36100
2990,1024,7,2918400,3283200,3283200,3283200,71400,36100
3310,1024,7,2918400,3283200,3283200,3283200,71800,36100
3640,1024,7,2918400,3283200,3283200,3283200,71800,36100
3980,1024,7,2918400,3283200,3283200,3283200,72200,36100
4310,1024,7,2918400,3283200,3283200,3283200,71800,36100
4620,1024,7,2918400,3283200,3283200,3283200,72600,36100
4930,1024,7,2918400,3283200,3283200,3283200,72600,36100
5260,1024,7,2918400,3283200,3283200,3283200,73300,36100
5580,1024,7,2918400,3283200,3283200,3283200,72900,36100
5920,1024,7,2918400,3283200,3283200,3283200,72900,36100
6240,1024,7,2918400,3283200,3283200,3283200,73300,36100
6560,1024,7,2918400,3283200,3283200,3283200,73300,36100
6890,1024,7,2918400,3283200,3283200,3283200,72900,36100
7230,1024,7,2918400,3283200,3283200,3283200,72900,36100
7550,1024,7,2918400,3283200,3283200,3283200,73300,36100
7860,1024,7,2918400,3283200,3283200,3283200,73300,36100
8180,1024,7,2918400,3283200,3283200,3283200,73300,36100
8490,1024,7,2918400,3283200,3283200,3283200,73300,36100
8810,1024,7,2918400,3283200,3283200,3283200,73700,36100
9150,1024,7,2918400,3283200,3283200,3283200,73700,36200
9470,1024,7,2918400,3283200,3283200,3283200,73700,36200
9800,1024,7,2918400,3283200,3283200,3283200,74900,36200
10140,1024,7,2918400,3283200,3283200,3283200,74100,36200
10480,1024,7,2918400,3283200,3283200,3283200,73700,36200
10810,1024,7,2918400,3283200,3283200,3283200,73700,36200
11140,1024,7,2918400,3283200,3283200,3283200,74100,36200
11460,1024,7,2918400,3283200,3283200,3283200,74500,36200
11790,1024,7,2918400,3283200,3283200,3283200,74100,36200
12100,1024,7,2918400,3283200,3283200,3283200,74500,36200
12440,1024,7,2918400,3283200,3283200,3283200,74100,36200
12750,1024,7,2918400,3283200,3283200,3283200,75700,36200
13060,1024,7,2918400,3283200,3283200,3283200,74900,36200
13370,1024,7,2918400,3283200,3283200,3283200,74900,36200
13690,1024,7,2918400,3283200,3283200,3283200,74900,36200
14010,1024,7,2918400,3283200,3283200,3283200,74900,36200
14350,1024,7,2918400,3283200,3283200,3283200,74900,36200
14670,1024,7,2918400,3283200,3283200,3283200,74900,36200
15000,1024,7,2918400,3283200,3283200,3283200,74900,36200
15330,1024,7,2918400,3283200,3283200,3283200,74900,36200
15640,1024,7,2918400,3283200,3283200,3283200,74900,36200
15950,1024,7,2918400,3283200,3283200,3283200,74900,36200
16280,1024,7,2918400,3283200,3283200,3283200,74500,36200
16620,1024,7,2918400,3283200,3283200,3283200,74900,36200
16950,1024,7,2918400,3283200,3283200,3283200,74900,36200
17280,1024,7,2918400,3283200,3283200,3283200,74900,36200
17610,1024,7,2918400,3283200,3283200,3283200,75300,36200
17960,1024,7,2918400,3283200,3283200,3283200,74900,36200
18290,1024,7,2918400,3283200,3283200,3283200,74900,36200
18600,1024,7,2918400,3283200,3283200,3283200,74900,36200
18910,1024,7,2918400,3283200,3283200,3283200,74900,36200
19240,1024,7,2918400,3283200,3283200,3283200,75300,36200
19580,1024,7,2918400,3283200,3283200,3283200,74900,36200
19910,1024,7,2918400,3283200,3283200,3283200,74900,36200
20230,1024,7,2918400,3283200,3283200,3283200,74900,36200
20570,1024,7,2918400,3283200,3283200,3283200,75300,36200
20890,1024,7,2918400,3283200,3283200,3283200,75700,36200
21230,1024,7,2918400,3283200,3283200,3283200,75300,36200
21570,1024,7,2918400,3283200,3283200,3283200,75300,36200
21890,1024,7,2918400,3283200,3283200,3283200,75300,36200
22220,1024,7,2918400,3283200,3283200,3283200,75300,36200
22550,1024,7,2918400,3283200,3283200,3283200,75300,36200
22890,1024,7,2918400,3283200,3283200,3283200,75300,36200
23220,1024,7,2918400,3283200,3283200,3283200,75300,36200
23570,1024,7,2918400,3283200,3283200,3283200,75300,36200
23890,1024,7,2918400,3283200,3283200,3283200,75700,36200
24230,1024,7,2918400,3283200,3283200,3283200,75300,36200
24570,1024,7,2918400,3283200,3283200,3283200,75700,36200
24910,1024,7,2918400,3283200,3283200,3283200,75700,36200
25230,1024,7,2918400,3283200,3283200,3283200,75700,36200
25580,1024,7,2918400,3283200,3283200,3283200,75700,36200
25880,1024,7,2918400,3283200,3283200,3283200,75300,36200
26200,1024,7,2918400,3283200,3283200,3283200,75300,36200
26520,1024,7,2918400,3283200,3283200,3283200,75700,36200
26830,1024,7,2918400,3283200,3283200,3283200,75700,36200
27150,1024,7,2918400,3283200,3283200,3283200,75300,36200
27480,1024,7,2918400,3283200,3283200,3283200,75700,36200
27810,1024,7,2918400,3283200,3283200,3283200,75700,36200
28120,1024,7,2918400,3283200,3283200,3283200,75700,36200
28460,1024,7,2918400,3283200,3283200,3283200,76000,36200
28800,1024,7,2918400,3283200,3283200,3283200,75300,36200
