t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,5,2918400,3283200,3283200,2400000,45500,37000
390,1024,6,2918400,3283200,3283200,3283200,56000,37000
740,1024,7,2918400,3283200,3283200,3283200,69500,37000
1080,1024,7,2918400,3283200,3283200,3283200,70600,37000
1420,1024,7,2918400,3283200,3283200,3283200,70600,37000
1760,1024,7,2918400,3283200,3283200,3283200,71000,37000
2070,1024,7,2918400,3283200,3283200,3283200,71800,37000
2400,1024,7,2918400,3283200,3283200,3283200,72200,36900
2750,1024,7,2918400,3283200,3283200,3283200,72200,36900
3070,1024,7,2918400,3283200,3283200,3283200,72600,36900
3400,1024,7,2918400,3283200,3283200,3283200,72900,36900
3730,1024,7,2918400,3283200,3283200,3283200,73700,36900
4050,1024,7,2918400,3283200,3283200,3283200,73300,36900
4360,1024,7,2918400,3283200,3283200,3283200,73300,36900
4680,1024,7,2918400,3283200,3283200,3283200,73700,36900
5020,1024,7,2918400,3283200,3283200,3283200,73700,36900
5360,1024,7,2918400,3283200,3283200,3283200,73700,36900
5660,466,7,2918400,3283200,3283200,3283200,74100,36900
5980,466,7,2918400,3283200,3283200,3283200,74100,36900
6290,466,7,2918400,3283200,3283200,3283200,74100,36900
6620,466,7,2918400,3283200,3283200,3283200,74500,36900
6960,466,7,2918400,3283200,3283200,3283200,74100,36900
7280,466,7,2918400,3283200,3283200,3283200,74100,37000
7610,466,7,2918400,3283200,3283200,3283200,74500,37000
7950,466,7,2918400,3283200,3283200,3283200,74500,37000
8280,466,7,2918400,3283200,3283200,3283200,74500,37000
8630,466,7,2918400,3283200,3283200,3283200,74500,37000
8960,466,7,2918400,3283200,3283200,3283200,74500,37000
9280,466,7,2918400,3283200,3283200,3283200,74900,37000
9590,466,7,2918400,3283200,3283200,3283200,74500,37000
9920,466,7,2918400,3283200,3283200,3283200,74900,37000
10260,466,7,2918400,3283200,3283200,3283200,74900,37000
10570,466,7,2918400,3283200,3283200,3283200,74500,37000
10900,466,7,2918400,3283200,3283200,3283200,74900,37000
11240,466,7,2918400,3283200,3283200,3283200,75300,37000
11590,466,7,2918400,3283200,3283200,3283200,75300,37000
11920,466,7,2918400,3283200,3283200,3283200,74900,37000
12250,466,7,2918400,3283200,3283200,3283200,74900,37000
12590,466,7,2918400,3283200,3283200,3283200,75300,37000
12940,466,7,2918400,3283200,3283200,3283200,74900,37000
13260,466,7,2918400,3283200,3283200,3283200,75300,37000
13590,466,7,2918400,3283200,3283200,3283200,75700,37000
13910,466,7,2918400,3283200,3283200,3283200,75700,37000
14250,466,7,2918400,3283200,3283200,3283200,75700,37000
14600,466,7,2918400,3283200,3283200,3283200,75300,37000
14950,466,7,2918400,3283200,3283200,3283200,75300,37000
15280,466,7,2918400,3283200,3283200,3283200,75300,37000
15630,466,7,2918400,3283200,3283200,3283200,75700,37000
15980,466,7,2918400,3283200,3283200,3283200,75700,37000
16300,466,7,2918400,3283200,3283200,3283200,76000,37000
16640,466,7,2918400,3283200,3283200,3283200,76000,37000
16960,466,7,2918400,3283200,3283200,3283200,76400,37000
17290,466,7,2918400,3283200,3283200,3283200,76000,37100
17630,466,7,2918400,3283200,3283200,3283200,75700,37100
17980,466,7,2918400,3283200,3283200,3283200,76000,37100
18300,466,7,2918400,3283200,3283200,3283200,76000,37100
18630,466,7,2918400,3283200,3283200,3283200,75700,37100
18960,466,7,2918400,3283200,3283200,3283200,75700,37100
19300,466,7,2918400,3283200,3283200,3283200,76000,37100
19620,466,7,2918400,3283200,3283200,3283200,76000,37100
19960,466,7,2918400,3283200,3283200,3283200,76000,37100
20260,466,7,2918400,3283200,3283200,3283200,76400,37100
20600,466,7,2918400,3283200,3283200,3283200,76000,37100
20930,466,6,2918400,3283200,3283200,2649600,61700,37100
21270,466,6,2918400,3283200,3283200,2649600,59400,37100
21600,466,6,2918400,3283200,3283200,2649600,59000,37100
21980,466,6,2918400,3283200,3283200,2649600,59000,37100
22310,466,6,2918400,3283200,3283200,2649600,58300,37100
22680,466,6,2918400,3283200,3283200,2649600,58300,37100
23030,466,6,2918400,3283200,3283200,2649600,57900,37100
23380,466,6,2918400,3283200,3283200,2649600,57900,37100
23740,466,6,2918400,3283200,3283200,2649600,57900,37100
24070,466,6,2918400,3283200,3283200,2649600,57900,37100
24420,466,6,2918400,3283200,3283200,2649600,57500,37100
24750,466,6,2918400,3283200,3283200,2649600,57900,37100
25080,466,6,2918400,3283200,3283200,2649600,57900,37100
25420,466,6,2918400,3283200,3283200,2649600,57900,37100
25750,466,6,2918400,3283200,3283200,2649600,57500,37100
26090,466,6,2918400,3283200,3283200,2649600,57900,37100
26420,466,6,2918400,3283200,3283200,2649600,57500,37100
26760,466,6,2918400,3283200,3283200,2649600,57500,37100
27100,466,6,2918400,3283200,3283200,3283200,57100,37100
27470,466,6,2918400,3283200,3283200,2649600,57100,37100
27780,466,6,2918400,3283200,3283200,2649600,57900,37100
28160,466,6,2918400,3283200,3283200,2649600,57100,37100
28490,466,6,2918400,3283200,3283200,2649600,57100,37100
28820,466,6,2918400,3283200,3283200,2649600,57500,37100
29150,466,6,2918400,3283200,3283200,2649600,56700,37100
29520,466,6,2918400,3283200,3283200,2649600,56700,37100
29890,466,6,2918400,3283200,3283200,2649600,57100,37100
30240,466,6,2918400,3283200,3283200,2649600,57100,37100
30600,466,6,2918400,3283200,3283200,2649600,57100,37100
