t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,6,2918400,3283200,3283200,3283200,42400,34400
380,1024,6,2918400,3283200,3283200,3283200,52900,34400
700,1024,6,2918400,3283200,3283200,3283200,54400,34400
1010,1024,6,2918400,3283200,3283200,3283200,55200,34400
1320,1024,6,2918400,3283200,3283200,3283200,55600,34400
1640,1024,6,2918400,3283200,3283200,3283200,56300,34400
1970,1024,6,2918400,3283200,3283200,3283200,56700,34400
2300,1024,6,2918400,3283200,3283200,3283200,57100,34400
2620,1024,6,2918400,3283200,3283200,3283200,57100,34400
2940,1024,7,2918400,3283200,3283200,3283200,69100,34400
3270,1024,7,2918400,3283200,3283200,3283200,69100,34400
3610,1024,7,2918400,3283200,3283200,3283200,69500,34400
3950,1024,7,2918400,3283200,3283200,3283200,69500,34400
4280,1024,7,2918400,3283200,3283200,3283200,69500,34400
4610,1024,7,2918400,3283200,3283200,3283200,69900,34400
4940,1024,7,2918400,3283200,3283200,3283200,69900,34400
5260,1024,7,2918400,3283200,3283200,3283200,69900,34400
5590,1024,7,2918400,3283200,3283200,3283200,70200,34400
5910,1024,7,2918400,3283200,3283200,3283200,70200,34400
6220,1024,7,2918400,3283200,3283200,3283200,70600,34400
6520,1024,7,2918400,3283200,3283200,3283200,71000,34400
6850,1024,7,2918400,3283200,3283200,3283200,70600,34400
7170,1024,7,2918400,3283200,3283200,3283200,70600,34400
7510,1024,7,2918400,3283200,3283200,3283200,70600,34400
7850,1024,7,2918400,3283200,3283200,3283200,70600,34400
8190,1024,7,2918400,3283200,3283200,3283200,70600,34400
8530,1024,7,2918400,3283200,3283200,3283200,70600,34400
8840,1024,7,2918400,3283200,3283200,3283200,71800,34400
9170,1024,7,2918400,3283200,3283200,3283200,71800,34400
9490,1024,7,2918400,3283200,3283200,3283200,71800,34400
9830,1024,7,2918400,3283200,3283200,3283200,71400,34400
10180,1024,7,2918400,3283200,3283200,3283200,71400,34400
10520,1024,7,2918400,3283200,3283200,3283200,71800,34400
10850,1024,7,2918400,3283200,3283200,3283200,71400,34400
11190,1024,7,2918400,3283200,3283200,3283200,71000,34400
11510,1024,7,2918400,3283200,3283200,3283200,71400,34400
11840,1024,7,2918400,3283200,3283200,3283200,71400,34400
12160,1024,7,2918400,3283200,3283200,3283200,71000,34400
12470,1024,7,2918400,3283200,3283200,3283200,71400,34400
12800,1024,7,2918400,3283200,3283200,3283200,71800,34400
13140,1024,7,2918400,3283200,3283200,3283200,71800,34400
13450,1024,7,2918400,3283200,3283200,3283200,71400,34400
13760,1024,7,2918400,3283200,3283200,3283200,71800,34400
14090,1024,7,2918400,3283200,3283200,3283200,71400,34400
14430,1024,7,2918400,3283200,3283200,3283200,71800,34400
14760,1024,7,2918400,3283200,3283200,3283200,71800,34400
15080,1024,7,2918400,3283200,3283200,3283200,71400,34400
15410,1024,7,2918400,3283200,3283200,3283200,72200,34400
15730,1024,7,2918400,3283200,3283200,3283200,71800,34400
16070,1024,7,2918400,3283200,3283200,3283200,72200,34400
16390,1024,7,2918400,3283200,3283200,3283200,71800,34400
16720,1024,7,2918400,3283200,3283200,3283200,72200,34400
17060,1024,7,2918400,3283200,3283200,3283200,71800,34400
17380,1024,7,2918400,3283200,3283200,3283200,72200,34400
17710,1024,7,2918400,3283200,3283200,3283200,72200,34400
18050,1024,7,2918400,3283200,3283200,3283200,72200,34400
18370,1024,7,2918400,3283200,3283200,3283200,72900,34400
18710,1024,7,2918400,3283200,3283200,3283200,72200,34400
19020,1024,7,2918400,3283200,3283200,3283200,72200,34400
19340,1024,7,2918400,3283200,3283200,3283200,72200,34400
19650,1024,7,2918400,3283200,3283200,3283200,72200,34400
19980,1024,7,2918400,3283200,3283200,3283200,72200,34400
20320,1024,7,2918400,3283200,3283200,3283200,72200,34400
20630,1024,7,2918400,3283200,3283200,3283200,72600,34400
20960,1024,7,2918400,3283200,3283200,3283200,72200,34400
21290,1024,7,2918400,3283200,3283200,3283200,72600,34400
21620,1024,7,2918400,3283200,3283200,3283200,72200,34400
21930,1024,7,2918400,3283200,3283200,3283200,72600,34500
22240,1024,7,2918400,3283200,3283200,3283200,72600,34500
22560,1024,7,2918400,3283200,3283200,3283200,72600,34500
22880,1024,7,2918400,3283200,3283200,3283200,72200,34500
23190,1024,7,2918400,3283200,3283200,3283200,73300,34500
23500,1024,7,2918400,3283200,3283200,3283200,72600,34500
23810,1024,7,2918400,3283200,3283200,3283200,72600,34500
24150,1024,7,2918400,3283200,3283200,3283200,72900,34500
24480,1024,7,2918400,3283200,3283200,3283200,72900,34500
24810,1024,7,2918400,3283200,3283200,3283200,72600,34500
25130,1024,7,2918400,3283200,3283200,3283200,72600,34500
25460,1024,7,2918400,3283200,3283200,3283200,72600,34500
25760,1024,7,2918400,3283200,3283200,3283200,72200,34500
26080,1024,7,2918400,3283200,3283200,3283200,72600,34500
26410,1024,7,2918400,3283200,3283200,3283200,72900,34500
26740,1024,7,2918400,3283200,3283200,3283200,72900,34500
27070,1024,7,2918400,3283200,3283200,3283200,72600,34500
27410,1024,7,2918400,3283200,3283200,3283200,72900,34500
27720,1024,7,2918400,3283200,3283200,3283200,72900,34500
28050,1024,7,2918400,3283200,3283200,3283200,72900,34500
28360,1024,7,2918400,3283200,3283200,3283200,72600,34500
28690,1024,7,2918400,3283200,3283200,3283200,72900,34500
