t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,6,2918400,3283200,3283200,3283200,44000,35200
390,1024,6,2918400,3283200,3283200,3283200,54800,35200
730,1024,6,2918400,3283200,3283200,3283200,56300,35200
1070,1024,6,2918400,3283200,3283200,3283200,56700,35200
1380,1024,6,2918400,3283200,3283200,3283200,57500,35200
1710,1024,6,2918400,3283200,3283200,3283200,57900,35200
2030,1024,6,2918400,3283200,3283200,3283200,58700,35200
2360,1024,6,2918400,3283200,3283200,3283200,58700,35200
2680,1024,6,2918400,3283200,3283200,3283200,58700,35200
2980,1024,6,2918400,3283200,3283200,3283200,59400,35200
3310,1024,7,2918400,3283200,3283200,3283200,71000,35200
3650,1024,7,2918400,3283200,3283200,3283200,71000,35200
3980,1024,7,2918400,3283200,3283200,3283200,71400,35200
4320,1024,7,2918400,3283200,3283200,3283200,71800,35200
4650,1024,7,2918400,3283200,3283200,3283200,71800,35200
4970,1024,7,2918400,3283200,3283200,3283200,71800,35200
5300,1024,7,2918400,3283200,3283200,3283200,72200,35300
5620,1024,7,2918400,3283200,3283200,3283200,72200,35300
5930,1024,7,2918400,3283200,3283200,3283200,72200,35300
6240,1024,7,2918400,3283200,3283200,3283200,72200,35300
6560,1024,7,2918400,3283200,3283200,3283200,72600,35300
6870,1024,7,2918400,3283200,3283200,3283200,72600,35300
7190,1024,7,2918400,3283200,3283200,3283200,72600,35300
7510,1024,7,2918400,3283200,3283200,3283200,72600,35300
7850,1024,7,2918400,3283200,3283200,3283200,72600,35300
8170,466,7,2918400,3283200,3283200,3283200,72600,35300
8490,466,7,2918400,3283200,3283200,3283200,72600,35300
8840,466,7,2918400,3283200,3283200,3283200,72600,35300
9170,466,7,2918400,3283200,3283200,3283200,72900,35300
9490,466,7,2918400,3283200,3283200,3283200,72900,35300
9820,466,7,2918400,3283200,3283200,3283200,72900,35300
10150,466,7,2918400,3283200,3283200,3283200,72900,35300
10490,466,7,2918400,3283200,3283200,3283200,72900,35300
10820,466,7,2918400,3283200,3283200,3283200,73300,35300
11150,466,7,2918400,3283200,3283200,3283200,73300,35300
11460,466,7,2918400,3283200,3283200,3283200,73300,35300
11790,466,7,2918400,3283200,3283200,3283200,73700,35300
12130,466,7,2918400,3283200,3283200,3283200,73300,35300
12460,466,7,2918400,3283200,3283200,3283200,73300,35300
12800,466,7,2918400,3283200,3283200,3283200,73300,35300
13120,466,7,2918400,3283200,3283200,3283200,73700,35300
13450,466,7,2918400,3283200,3283200,3283200,72900,35300
13800,466,7,2918400,3283200,3283200,3283200,73700,35300
14120,466,7,2918400,3283200,3283200,3283200,73300,35300
14460,466,7,2918400,3283200,3283200,3283200,74100,35300
14770,466,7,2918400,3283200,3283200,3283200,73700,35300
15110,466,7,2918400,3283200,3283200,3283200,73700,35300
15450,466,7,2918400,3283200,3283200,3283200,73700,35400
15790,466,7,2918400,3283200,3283200,3283200,73700,35400
16110,466,7,2918400,3283200,3283200,3283200,73700,35400
16440,466,7,2918400,3283200,3283200,3283200,74100,35400
16770,466,7,2918400,3283200,3283200,3283200,73700,35400
17100,466,6,2918400,3283200,3283200,2649600,58300,35400
17450,466,6,2918400,3283200,3283200,2649600,57500,35400
17790,466,6,2918400,3283200,3283200,2649600,57100,35400
18110,466,6,2918400,3283200,3283200,2649600,57500,35400
18460,466,6,2918400,3283200,3283200,2649600,56700,35400
18810,466,6,2918400,3283200,3283200,2649600,56700,35400
19170,466,6,2918400,3283200,3283200,2649600,56300,35400
