t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
40,1024,6,2918400,3283200,3283200,3283200,43600,34500
350,1024,6,2918400,3283200,3283200,3283200,60200,34500
670,1024,6,2918400,3283200,3283200,3283200,51300,34500
980,1024,6,2918400,3283200,3283200,3283200,51700,34500
1290,1024,7,2918400,3283200,3283200,3283200,63700,34500
1600,1024,7,2918400,3283200,3283200,3283200,64500,34500
1920,1024,6,2918400,3283200,3283200,3283200,53600,34500
2220,1024,6,2918400,3283200,3283200,3283200,53600,34500
2530,1024,7,2918400,3283200,3283200,3283200,63300,34500
2850,1024,7,2918400,3283200,3283200,3283200,65600,34500
3160,1024,7,2918400,3283200,3283200,3283200,66000,34500
3470,1024,6,2918400,3283200,3283200,3283200,55200,34500
3780,1024,6,2918400,3283200,3283200,3283200,54800,34500
4090,1024,6,2918400,3283200,3283200,3283200,55200,34500
4400,1024,6,2918400,3283200,3283200,3283200,55600,34500
4710,1024,7,2918400,3283200,3283200,3283200,66800,34500
5020,1024,6,2918400,3283200,3283200,3283200,56000,34500
5340,1024,6,2918400,3283200,3283200,3283200,55600,34500
5660,1024,6,2918400,3283200,3283200,3283200,56000,34500
5970,1024,7,2918400,3283200,3283200,3283200,67200,34600
6280,1024,7,2918400,3283200,3283200,3283200,67200,34600
6600,1024,7,2918400,3283200,3283200,3283200,67500,34600
6910,1024,7,2918400,3283200,3283200,3283200,67500,34600
7220,1024,7,2918400,3283200,3283200,3283200,67900,34600
7540,1024,7,2918400,3283200,3283200,3283200,67900,34600
7850,1024,7,2918400,3283200,3283200,3283200,67900,34600
8160,1024,6,2918400,3283200,3283200,3283200,56700,34600
8470,1024,7,2918400,3283200,3283200,3283200,67500,34600
8780,1024,6,2918400,3283200,3283200,3283200,57500,34600
9090,1024,6,2918400,3283200,3283200,3283200,57100,34600
9400,1024,7,2918400,3283200,3283200,3283200,68300,34600
9700,1024,7,2918400,3283200,3283200,3283200,68300,34600
10010,466,7,2918400,3283200,3283200,3283200,68700,34600
10330,466,7,2918400,3283200,3283200,2649600,64500,34600
10650,466,7,2918400,3283200,3283200,2649600,64500,34600
10970,466,7,2918400,3283200,3283200,2649600,62500,34600
11280,466,7,2918400,3283200,3283200,2649600,60200,34600
11600,466,7,2918400,3283200,3283200,2649600,59800,34600
11920,466,7,2918400,3283200,3283200,2649600,59800,34600
12230,466,7,2918400,3283200,3283200,2649600,59000,34600
12540,466,7,2918400,3283200,3283200,2649600,61400,34600
12860,466,7,2918400,3283200,3283200,2649600,59000,34600
13180,466,7,2918400,3283200,3283200,2649600,59000,34600
13490,466,7,2918400,3283200,3283200,2649600,59000,34600
13820,466,7,2918400,3283200,3283200,2649600,59400,34600
14150,466,7,2918400,3283200,3283200,2649600,59400,34600
14460,466,7,2918400,3283200,3283200,2649600,59000,34600
14770,466,7,2918400,3283200,3283200,3283200,58700,34600
15080,466,7,2918400,3283200,3283200,2649600,59000,34600
