t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,7,2918400,3283200,3283200,3283200,56000,34600
340,1024,7,2918400,3283200,3283200,3283200,64100,34600
650,1024,7,2918400,3283200,3283200,3283200,65600,34600
960,1024,7,2918400,3283200,3283200,3283200,66000,34600
1270,1024,7,2918400,3283200,3283200,3283200,66800,34600
1580,1024,7,2918400,3283200,3283200,3283200,67200,34600
1880,1024,7,2918400,3283200,3283200,3283200,67500,34600
2180,1024,7,2918400,3283200,3283200,3283200,67900,34600
2500,1024,7,2918400,3283200,3283200,3283200,68300,34600
2810,1024,7,2918400,3283200,3283200,3283200,68300,34600
3120,1024,7,2918400,3283200,3283200,3283200,68700,34600
3420,1024,7,2918400,3283200,3283200,3283200,68700,34600
3730,1024,7,2918400,3283200,3283200,3283200,68700,34600
4030,1024,7,2918400,3283200,3283200,3283200,69100,34600
4350,1024,7,2918400,3283200,3283200,3283200,69100,34600
4650,1024,7,2918400,3283200,3283200,3283200,69100,34600
4970,1024,7,2918400,3283200,3283200,3283200,69500,34600
5300,1024,7,2918400,3283200,3283200,3283200,69100,34600
5630,1024,7,2918400,3283200,3283200,3283200,69100,34600
5960,1024,7,2918400,3283200,3283200,3283200,71000,34600
6260,1024,7,2918400,3283200,3283200,3283200,70200,34600
6580,1024,7,2918400,3283200,3283200,3283200,69900,34600
6910,1024,7,2918400,3283200,3283200,3283200,69900,34600
7210,1024,7,2918400,3283200,3283200,3283200,70200,34600
7520,1024,7,2918400,3283200,3283200,3283200,70200,34600
7840,1024,7,2918400,3283200,3283200,3283200,69900,34500
8150,1024,7,2918400,3283200,3283200,3283200,70600,34500
8470,1024,7,2918400,3283200,3283200,3283200,70200,34500
8790,1024,7,2918400,3283200,3283200,3283200,70200,34500
9100,1024,7,2918400,3283200,3283200,3283200,70200,34500
9430,1024,7,2918400,3283200,3283200,3283200,70200,34500
9750,1024,7,2918400,3283200,3283200,3283200,70200,34500
10080,1024,7,2918400,3283200,3283200,3283200,70200,34500
10410,1024,7,2918400,3283200,3283200,3283200,70200,34500
10730,1024,7,2918400,3283200,3283200,3283200,70600,34500
11060,1024,7,2918400,3283200,3283200,3283200,70600,34500
11390,1024,7,2918400,3283200,3283200,3283200,71000,34500
11710,1024,7,2918400,3283200,3283200,3283200,70600,34500
12040,1024,7,2918400,3283200,3283200,3283200,70600,34500
12390,1024,7,2918400,3283200,3283200,3283200,70600,34500
12720,1024,7,2918400,3283200,3283200,3283200,70600,34500
13020,1024,7,2918400,3283200,3283200,3283200,70600,34500
13350,1024,6,2918400,3283200,3283200,3283200,59000,34500
13670,1024,6,2918400,3283200,3283200,3283200,59400,34500
13990,1024,6,2918400,3283200,3283200,3283200,59000,34500
14320,1024,6,2918400,3283200,3283200,3283200,59000,34500
14650,1024,6,2918400,3283200,3283200,3283200,59000,34500
14970,1024,6,2918400,3283200,3283200,3283200,59000,34500
15290,1024,6,2918400,3283200,3283200,3283200,59000,34500
15600,1024,6,2918400,3283200,3283200,3283200,59400,34500
15930,1024,6,2918400,3283200,3283200,3283200,59000,34500
16270,1024,6,2918400,3283200,3283200,3283200,59000,34500
16620,1024,6,2918400,3283200,3283200,3283200,59000,34500
16950,1024,6,2918400,3283200,3283200,3283200,59000,34500
17290,1024,6,2918400,3283200,3283200,3283200,59000,34500
17620,1024,6,2918400,3283200,3283200,3283200,59000,34500
17920,1024,6,2918400,3283200,3283200,3283200,59400,34500
18230,1024,6,2918400,3283200,3283200,3283200,59400,34500
18540,1024,6,2918400,3283200,3283200,3283200,59000,34500
18870,1024,6,2918400,3283200,3283200,3283200,59400,34500
19200,1024,6,2918400,3283200,3283200,3283200,59800,34500
19530,1024,6,2918400,3283200,3283200,3283200,59400,34500
19850,1024,6,2918400,3283200,3283200,3283200,59800,34500
20190,1024,6,2918400,3283200,3283200,3283200,59400,34500
20530,1024,6,2918400,3283200,3283200,3283200,59800,34500
20840,1024,6,2918400,3283200,3283200,3283200,59800,34500
21160,1024,6,2918400,3283200,3283200,3283200,59800,34500
21480,1024,6,2918400,3283200,3283200,3283200,59800,34500
21800,1024,6,2918400,3283200,3283200,3283200,59400,34500
22130,1024,6,2918400,3283200,3283200,3283200,59800,34500
22450,1024,6,2918400,3283200,3283200,3283200,59400,34500
22770,1024,6,2918400,3283200,3283200,3283200,59800,34400
23100,1024,6,2918400,3283200,3283200,3283200,59800,34400
23410,1024,6,2918400,3283200,3283200,3283200,60200,34400
23730,1024,7,2918400,3283200,3283200,3283200,71800,34400
24060,1024,7,2918400,3283200,3283200,3283200,71800,34400
24380,1024,7,2918400,3283200,3283200,3283200,71400,34400
24710,1024,6,2918400,3283200,3283200,3283200,60200,34400
25030,1024,6,2918400,3283200,3283200,3283200,59800,34400
25380,1024,6,2918400,3283200,3283200,3283200,59800,34400
25730,1024,6,2918400,3283200,3283200,3283200,59800,34400
26060,1024,6,2918400,3283200,3283200,3283200,59800,34400
26370,1024,6,2918400,3283200,3283200,3283200,59800,34400
26700,1024,6,2918400,3283200,3283200,3283200,59800,34400
27040,1024,6,2918400,3283200,3283200,3283200,60200,34400
27360,1024,6,2918400,3283200,3283200,3283200,60200,34400
27670,1024,6,2918400,3283200,3283200,3283200,60200,34400
27990,1024,6,2918400,3283200,3283200,3283200,59800,34400
28310,1024,6,2918400,3283200,3283200,3283200,60200,34400
28630,1024,6,2918400,3283200,3283200,3283200,60200,34400
28950,NA,-1,2918400,3283200,3283200,0,60200,34400
