run_id,block,arm,cycle_id,requested_min,effective_min,pred_demand,start_cpu,candidate_mask,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r01,1,A,s2b-r01-0,0,0,164,0,16,0,4,4,22.0,44.8,50.5
s2b-r01,1,A,s2b-r01-1,0,0,85,0,16,0,4,4,62.0,44.8,50.5
s2b-r01,1,A,s2b-r01-2,0,0,68,0,16,0,4,4,33.0,44.8,50.5
s2b-r01,1,A,s2b-r01-3,0,0,31,0,16,0,4,4,73.0,44.8,50.5
s2b-r01,1,A,s2b-r01-4,0,0,148,0,16,0,4,4,80.0,44.8,50.5
s2b-r01,1,A,s2b-r01-5,0,0,154,0,8,0,3,3,37.0,44.8,50.5
s2b-r01,1,A,s2b-r01-6,0,0,164,0,4,0,2,2,21.0,44.8,50.5
s2b-r01,1,A,s2b-r01-7,0,0,107,0,4,0,2,2,44.0,44.8,50.5
s2b-r01,1,A,s2b-r01-8,0,0,153,0,32,0,5,5,64.0,44.8,50.5
s2b-r01,1,A,s2b-r01-9,0,0,153,0,32,0,5,5,65.0,44.8,50.5
s2b-r01,1,A,s2b-r01-10,0,0,153,0,32,0,5,5,82.0,44.8,50.5
s2b-r01,1,A,s2b-r01-11,0,0,14,0,32,0,5,5,111.0,44.8,50.5
s2b-r01,1,A,s2b-r01-12,0,0,66,0,32,0,5,5,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-13,0,0,116,0,16,0,2,2,56.0,44.8,50.5
s2b-r01,1,A,s2b-r01-14,0,0,142,0,4,0,2,2,42.0,44.8,50.5
s2b-r01,1,A,s2b-r01-15,0,0,55,0,4,0,2,2,67.0,44.8,50.5
s2b-r01,1,A,s2b-r01-16,0,0,83,0,1,0,0,0,103.0,44.8,50.5
s2b-r01,1,A,s2b-r01-17,0,0,154,0,2,0,1,1,22.0,44.8,50.5
s2b-r01,1,A,s2b-r01-18,0,0,174,0,1,0,0,0,23.0,44.8,50.5
s2b-r01,1,A,s2b-r01-19,0,0,154,0,2,0,1,1,226.0,44.8,50.5
s2b-r01,1,A,s2b-r01-20,0,0,95,0,1,0,0,0,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-21,0,0,95,0,2,0,1,1,62.0,44.8,50.5
s2b-r01,1,A,s2b-r01-22,0,0,11,0,32,0,5,5,117.0,44.8,50.5
s2b-r01,1,A,s2b-r01-23,0,0,152,0,32,0,5,5,109.0,44.8,50.5
s2b-r01,1,A,s2b-r01-24,0,0,53,0,16,0,4,4,47.0,44.8,50.5
s2b-r01,1,A,s2b-r01-25,0,0,21,0,16,0,4,4,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-26,0,0,66,0,8,0,3,3,216.0,44.8,50.5
s2b-r01,1,A,s2b-r01-27,0,0,125,0,32,0,0,5,98.0,44.8,50.5
s2b-r01,1,A,s2b-r01-28,0,0,150,0,2,0,1,1,35.0,44.8,50.5
s2b-r01,1,A,s2b-r01-29,0,0,125,0,2,0,1,1,27.0,44.8,50.5
s2b-r01,1,A,s2b-r01-30,0,0,3,0,2,0,1,1,53.0,44.8,50.5
s2b-r01,1,A,s2b-r01-31,0,0,61,0,32,0,5,5,55.0,44.8,50.5
s2b-r01,1,A,s2b-r01-32,0,0,119,0,16,0,4,4,26.0,44.8,50.5
s2b-r01,1,A,s2b-r01-33,0,0,138,0,16,0,4,4,45.0,44.8,50.5
s2b-r01,1,A,s2b-r01-34,0,0,11,0,16,0,4,4,81.0,44.8,50.5
s2b-r01,1,A,s2b-r01-35,0,0,120,0,32,0,5,5,164.0,44.8,50.5
s2b-r01,1,A,s2b-r01-36,0,0,120,0,2,0,1,1,101.0,44.8,50.5
