run_id,block,order,uclamp_min,tid,req_readback,start_temp,peak_temp,end_temp,status,cycles_complete,cycles_per_second
s2c-lad-r01,1,1,384,8275,384,43.6,43.2,38.2,OK,561,37.40
s2c-lad-r02,1,2,256,11740,256,41.3,42.0,38.2,OK,532,35.47
s2c-lad-r03,1,3,512,13806,512,40.5,43.6,38.6,OK,576,38.40
s2c-lad-r04,1,4,0,15084,0,41.3,40.9,37.8,OK,425,28.33
s2c-lad-r05,1,5,448,16420,448,42.0,41.7,38.2,OK,576,38.40
s2c-lad-r06,2,1,448,18122,448,47.1,52.1,40.1,OK,579,38.60
s2c-lad-r07,2,2,384,20000,384,45.1,44.0,38.6,OK,559,37.27
s2c-lad-r08,2,3,0,21494,0,42.4,42.0,38.6,OK,434,28.93
s2c-lad-r09,2,4,512,23128,512,51.3,56.3,42.4,OK,594,39.60
s2c-lad-r10,2,5,256,25118,256,42.0,53.6,42.8,OK,533,35.53
s2c-lad-r11,3,1,256,28056,256,42.4,42.0,39.0,OK,531,35.40
s2c-lad-r12,3,2,384,29774,384,41.7,41.3,39.3,OK,562,37.47
s2c-lad-r13,3,3,512,31425,512,40.9,42.4,39.3,OK,580,38.67
s2c-lad-r14,3,4,0,597,0,40.9,40.9,38.2,OK,429,28.60
s2c-lad-r15,3,5,448,2772,448,40.9,40.5,39.0,OK,574,38.27
s2c-lad-r16,4,1,256,6010,256,40.9,40.5,38.6,OK,534,35.60
s2c-lad-r17,4,2,384,8717,384,42.0,41.7,38.6,OK,558,37.20
s2c-lad-r18,4,3,448,11023,448,40.5,40.1,39.0,OK,572,38.13
s2c-lad-r19,4,4,0,12761,0,41.7,40.9,37.8,OK,430,28.67
s2c-lad-r20,4,5,512,14611,512,39.0,42.8,41.7,OK,576,38.40
