run_id,block,arm,uclamp_min_arm,cycle_id,req_min_at_wake,eff_min_at_wake,eff_active_at_wake,eff_bucket_at_wake,req_min_at_place,eff_min_at_place,eff_active_at_place,eff_bucket_at_place,eff_max_at_place,start_cpu,candidate_mask,min_util,most_spare_cap,order_index,end_index,skip,prev_cpu,util_raw,best_energy_cpu,fastpath,demand_raw,pred_demand,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r01,1,A,0,s2b-r01-0,0,0,0,0,0,0,1,0,1024,0,16,152,-1,0,0,-1,4,152,4,2,2379757,164,0,4,4,22.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-1,0,0,0,0,0,0,1,0,1024,0,16,96,-1,0,0,-1,4,96,4,2,1509537,85,0,4,4,62.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-2,0,0,0,0,0,0,1,0,1024,0,16,92,-1,0,0,-1,4,92,4,2,1440434,68,0,4,4,33.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-3,0,0,0,0,0,0,1,0,1024,0,16,77,-1,0,0,-1,4,77,4,2,1211588,31,0,4,4,73.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-4,0,0,0,0,0,0,1,0,1024,0,16,148,-1,0,0,-1,4,148,4,2,2321380,148,0,4,4,80.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-5,0,0,0,0,0,0,1,0,1024,0,8,154,1,0,0,-1,4,154,3,0,2413009,154,0,3,3,37.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-6,0,0,0,0,0,0,1,0,1024,0,4,164,-1,0,0,-1,2,164,2,2,2569798,164,0,2,2,21.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-7,0,0,0,0,0,0,1,0,1024,0,4,123,-1,0,0,-1,2,123,2,2,1933822,107,0,2,2,44.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-8,0,0,0,0,0,0,1,0,1024,0,32,153,-1,0,0,-1,5,153,5,2,2391287,153,0,5,5,64.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-9,0,0,0,0,0,0,1,0,1024,0,32,152,-1,0,0,-1,5,152,5,2,2377156,153,0,5,5,65.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-10,0,0,0,0,0,0,1,0,1024,0,32,151,-1,0,0,-1,5,151,5,2,2367578,153,0,5,5,82.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-11,0,0,0,0,0,0,1,0,1024,0,32,121,-1,0,0,-1,5,121,5,2,1898803,14,0,5,5,111.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-12,0,0,0,0,0,0,1,0,1024,0,32,90,-1,0,0,-1,5,90,5,2,1413826,66,0,5,5,78.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-13,0,0,0,0,0,0,1,0,1024,0,16,116,4,0,0,-1,2,116,2,0,1821041,116,0,2,2,56.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-14,0,0,0,0,0,0,1,0,1024,0,4,142,-1,0,0,-1,2,142,2,2,2220651,142,0,2,2,42.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-15,0,0,0,0,0,0,1,0,1024,0,4,83,-1,0,0,-1,2,83,2,2,1310079,55,0,2,2,67.0,44.8,50.5
s2b-r01,1,A,0,s2b-r01-16,0,0,0,0,0,0,1,0,1024,0,1,89,0,0,0,-1,2,89,0,0,1391562,83,0,0,0,103.0,44.8,50.5
