run_id,block,order,uclamp_min,tid,req_readback,start_temp,peak_temp,end_temp,status,cycles_complete,cycles_per_second
s2d-thr-r01,1,1,464,14155,464,42.4,42.8,38.6,OK,572,38.13
s2d-thr-r02,1,2,448,15658,448,40.1,43.2,38.2,OK,570,38.00
s2d-thr-r03,1,3,512,18190,512,44.4,55.2,40.1,OK,585,39.00
s2d-thr-r04,1,4,0,20224,0,42.0,41.7,38.6,OK,431,28.73
s2d-thr-r05,1,5,504,21794,504,42.0,42.4,38.2,OK,575,38.33
s2d-thr-r06,1,6,496,23425,496,39.7,39.3,38.2,OK,575,38.33
s2d-thr-r07,1,7,480,25513,480,42.8,41.7,38.6,OK,575,38.33
s2d-thr-r08,2,1,464,27382,464,40.1,39.7,38.2,OK,573,38.20
s2d-thr-r09,2,2,480,29345,480,42.0,41.3,37.8,OK,572,38.13
s2d-thr-r10,2,3,0,30993,0,39.7,39.3,37.8,OK,433,28.87
s2d-thr-r11,2,4,504,32578,504,40.1,39.7,38.6,OK,576,38.40
s2d-thr-r12,2,5,512,2457,512,43.6,42.4,39.0,OK,578,38.53
s2d-thr-r13,2,6,496,5502,496,39.3,39.3,38.2,OK,573,38.20
s2d-thr-r14,2,7,448,8333,448,41.3,49.8,38.6,OK,570,38.00
s2d-thr-r15,3,1,504,10995,504,40.9,40.9,38.2,OK,573,38.20
s2d-thr-r16,3,2,464,12808,464,39.3,48.6,45.5,OK,579,38.60
s2d-thr-r17,3,3,480,15367,480,43.2,43.2,39.3,OK,570,38.00
s2d-thr-r18,3,4,496,17283,496,41.3,40.5,39.0,OK,577,38.47
s2d-thr-r19,3,5,512,19408,512,39.7,42.4,39.7,OK,580,38.67
s2d-thr-r20,3,6,448,21070,448,41.3,40.5,39.0,OK,575,38.33
s2d-thr-r21,3,7,0,22780,0,40.1,39.7,38.2,OK,430,28.67
s2d-thr-r22,4,1,464,24518,464,40.5,39.7,38.2,OK,571,38.07
s2d-thr-r23,4,2,496,26537,496,39.7,39.7,39.3,OK,577,38.47
s2d-thr-r24,4,3,504,28449,504,39.7,39.7,38.6,OK,576,38.40
s2d-thr-r25,4,4,480,30332,480,41.3,40.5,38.2,OK,572,38.13
s2d-thr-r26,4,5,512,31955,512,40.9,41.3,43.2,OK,580,38.67
s2d-thr-r27,4,6,448,1439,448,40.5,45.1,38.6,OK,570,38.00
s2d-thr-r28,4,7,0,4929,0,56.3,57.1,39.0,OK,440,29.33
