run_id,uclamp_min,cluster,freq_khz,jiffies_before,jiffies_after,jiffies_delta
s2d-thr-r01,464,policy0_mid,384000,245744,245744,0
s2d-thr-r01,464,policy0_mid,556800,14768809,14768944,135
s2d-thr-r01,464,policy0_mid,748800,3803705,3803749,44
s2d-thr-r01,464,policy0_mid,960000,2526103,2526521,418
s2d-thr-r01,464,policy0_mid,1152000,1379316,1379413,97
s2d-thr-r01,464,policy0_mid,1363200,1482017,1482067,50
s2d-thr-r01,464,policy0_mid,1555200,713468,713511,43
s2d-thr-r01,464,policy0_mid,1785600,1054917,1054955,38
s2d-thr-r01,464,policy0_mid,1996800,700141,700170,29
s2d-thr-r01,464,policy0_mid,2227200,775012,775025,13
s2d-thr-r01,464,policy0_mid,2400000,2751630,2751922,292
s2d-thr-r01,464,policy0_mid,2745600,473742,474082,340
s2d-thr-r01,464,policy0_mid,2918400,1100968,1100999,31
s2d-thr-r01,464,policy0_mid,3072000,50848,50848,0
s2d-thr-r01,464,policy0_mid,3321600,3149,3149,0
s2d-thr-r01,464,policy0_mid,3532800,34285,34285,0
s2d-thr-r01,464,policy6_prime,1017600,29198243,29199759,1516
s2d-thr-r01,464,policy6_prime,1209600,77883,77883,0
s2d-thr-r01,464,policy6_prime,1401600,361557,361557,0
s2d-thr-r01,464,policy6_prime,1689600,107395,107395,0
s2d-thr-r01,464,policy6_prime,1958400,254883,254883,0
s2d-thr-r01,464,policy6_prime,2246400,93551,93551,0
s2d-thr-r01,464,policy6_prime,2438400,158763,158763,0
s2d-thr-r01,464,policy6_prime,2649600,168320,168320,0
s2d-thr-r01,464,policy6_prime,2841600,110298,110298,0
s2d-thr-r01,464,policy6_prime,3072000,79602,79602,0
s2d-thr-r01,464,policy6_prime,3283200,1133878,1133892,14
s2d-thr-r01,464,policy6_prime,3513600,42755,42755,0
s2d-thr-r01,464,policy6_prime,3801600,45233,45233,0
s2d-thr-r01,464,policy6_prime,4089600,1947,1947,0
s2d-thr-r01,464,policy6_prime,4204800,988,988,0
s2d-thr-r01,464,policy6_prime,4320000,28557,28557,0
s2d-thr-r02,448,policy0_mid,384000,245744,245744,0
s2d-thr-r02,448,policy0_mid,556800,14769799,14769960,161
s2d-thr-r02,448,policy0_mid,748800,3803887,3803931,44
s2d-thr-r02,448,policy0_mid,960000,2526604,2527012,408
s2d-thr-r02,448,policy0_mid,1152000,1379455,1379572,117
s2d-thr-r02,448,policy0_mid,1363200,1482095,1482144,49
s2d-thr-r02,448,policy0_mid,1555200,713535,713565,30
s2d-thr-r02,448,policy0_mid,1785600,1054972,1055002,30
s2d-thr-r02,448,policy0_mid,1996800,700186,700209,23
s2d-thr-r02,448,policy0_mid,2227200,775033,775048,15
s2d-thr-r02,448,policy0_mid,2400000,2752012,2752343,331
s2d-thr-r02,448,policy0_mid,2745600,474103,474392,289
s2d-thr-r02,448,policy0_mid,2918400,1101007,1101041,34
s2d-thr-r02,448,policy0_mid,3072000,50848,50848,0
s2d-thr-r02,448,policy0_mid,3321600,3149,3149,0
s2d-thr-r02,448,policy0_mid,3532800,34285,34285,0
s2d-thr-r02,448,policy6_prime,1017600,29201058,29202579,1521
s2d-thr-r02,448,policy6_prime,1209600,77883,77883,0
s2d-thr-r02,448,policy6_prime,1401600,361557,361557,0
s2d-thr-r02,448,policy6_prime,1689600,107395,107395,0
s2d-thr-r02,448,policy6_prime,1958400,254883,254883,0
s2d-thr-r02,448,policy6_prime,2246400,93551,93551,0
s2d-thr-r02,448,policy6_prime,2438400,158764,158766,2
s2d-thr-r02,448,policy6_prime,2649600,168320,168320,0
s2d-thr-r02,448,policy6_prime,2841600,110300,110300,0
s2d-thr-r02,448,policy6_prime,3072000,79604,79604,0
s2d-thr-r02,448,policy6_prime,3283200,1133919,1133929,10
s2d-thr-r02,448,policy6_prime,3513600,42755,42755,0
s2d-thr-r02,448,policy6_prime,3801600,45233,45233,0
s2d-thr-r02,448,policy6_prime,4089600,1947,1947,0
s2d-thr-r02,448,policy6_prime,4204800,988,988,0
s2d-thr-r02,448,policy6_prime,4320000,28557,28557,0
s2d-thr-r03,512,policy0_mid,384000,245744,245744,0
s2d-thr-r03,512,policy0_mid,556800,14770379,14771092,713
s2d-thr-r03,512,policy0_mid,748800,3804066,3804284,218
s2d-thr-r03,512,policy0_mid,960000,2527103,2527242,139
s2d-thr-r03,512,policy0_mid,1152000,1379654,1379720,66
s2d-thr-r03,512,policy0_mid,1363200,1482268,1482340,72
s2d-thr-r03,512,policy0_mid,1555200,713649,713687,38
s2d-thr-r03,512,policy0_mid,1785600,1055084,1055122,38
s2d-thr-r03,512,policy0_mid,1996800,700274,700319,45
s2d-thr-r03,512,policy0_mid,2227200,775106,775129,23
s2d-thr-r03,512,policy0_mid,2400000,2752469,2752582,113
s2d-thr-r03,512,policy0_mid,2745600,474409,474424,15
s2d-thr-r03,512,policy0_mid,2918400,1101074,1101126,52
s2d-thr-r03,512,policy0_mid,3072000,50851,50851,0
s2d-thr-r03,512,policy0_mid,3321600,3149,3149,0
s2d-thr-r03,512,policy0_mid,3532800,34285,34285,0
s2d-thr-r03,512,policy6_prime,1017600,29203825,29204919,1094
s2d-thr-r03,512,policy6_prime,1209600,77886,77887,1
s2d-thr-r03,512,policy6_prime,1401600,361558,361560,2
s2d-thr-r03,512,policy6_prime,1689600,107398,107401,3
s2d-thr-r03,512,policy6_prime,1958400,254886,254889,3
s2d-thr-r03,512,policy6_prime,2246400,93554,93555,1
s2d-thr-r03,512,policy6_prime,2438400,158767,158769,2
s2d-thr-r03,512,policy6_prime,2649600,168320,168343,23
s2d-thr-r03,512,policy6_prime,2841600,110300,110686,386
s2d-thr-r03,512,policy6_prime,3072000,79616,79616,0
s2d-thr-r03,512,policy6_prime,3283200,1133971,1133993,22
s2d-thr-r03,512,policy6_prime,3513600,42757,42757,0
s2d-thr-r03,512,policy6_prime,3801600,45233,45233,0
s2d-thr-r03,512,policy6_prime,4089600,1947,1947,0
s2d-thr-r03,512,policy6_prime,4204800,988,988,0
s2d-thr-r03,512,policy6_prime,4320000,28557,28557,0
s2d-thr-r04,0,policy0_mid,384000,245744,245744,0
s2d-thr-r04,0,policy0_mid,556800,14771966,14772659,693
s2d-thr-r04,0,policy0_mid,748800,3804418,3804810,392
s2d-thr-r04,0,policy0_mid,960000,2527317,2527484,167
s2d-thr-r04,0,policy0_mid,1152000,1379761,1379808,47
s2d-thr-r04,0,policy0_mid,1363200,1482363,1482392,29
s2d-thr-r04,0,policy0_mid,1555200,713699,713711,12
s2d-thr-r04,0,policy0_mid,1785600,1055136,1055165,29
s2d-thr-r04,0,policy0_mid,1996800,700336,700347,11
s2d-thr-r04,0,policy0_mid,2227200,775148,775168,20
s2d-thr-r04,0,policy0_mid,2400000,2752684,2752774,90
s2d-thr-r04,0,policy0_mid,2745600,474445,474460,15
s2d-thr-r04,0,policy0_mid,2918400,1101136,1101169,33
s2d-thr-r04,0,policy0_mid,3072000,50851,50851,0
s2d-thr-r04,0,policy0_mid,3321600,3149,3149,0
s2d-thr-r04,0,policy0_mid,3532800,34285,34285,0
